text,mood
බිස්කට් දෙක තුනක් කෑවා.,Normal
මමයි මගේ බිරිඳයි අද අපේ දස අවුරුදු සංවත්සරය සමරනවා,Happy
උපදෙස් මට මේඩ් ඇප්ට් එකක් ඇවිල්ලා මොනවා කරන්නද මම කමක් නෑ නමුත් ඒක වෙන්න පුළුවන් මට ඉහළම ශල්යකර්මයක් තියෙනවා හෝ මම මගේ සහකරු බලන්න පටන් ගත්තා විතරයි එහෙමත් නැහැ්තම් වෙන්න පුළුවන් මම මගේ බෙහෙත් වෙනස් කරන්නද මෙතරම් කාලයක් මේ බෙහෙත් ගන්න මම ස්වයංක්රීය නියමු මත හිටියා,Bad
අද ටිකක් වෙලා ගියා.,Normal
අද පන්තියේ ටීචර් කෑගැහුවා… මට ලැජ්ජායි,Bad
රඟහලට ගොස් මගේ පවුල සමඟ සතුටු වන්නා,Happy
මම පහේ මගේ සීමාවෙනවා හිටියා,Bad
මගේ යාලුවා අද මට කෙල්ලෙක් ගැන නරක කතාවක් කිව්වා මට හරිම දුකයි,Bad
සමහර දවස් වල එකම සැනසීම මේ දවස ඉවර වෙලා ඉස්සරහට අලුත් දවසක් එන එක විතරයි,Bad
වසරකට පසු වාර්ෂික සමාලෝචනයෙන් මට වැටුප් වැඩිවීමක් ලැබුණා,Happy
මගේ සහෝදරියගේ විවාහ උත්සවයට ගියා සතුටුයි,Happy
අද listening ටිකක් කරලා හිටියා.,Normal
හිතේ කිසිම බරක් නෑ,Normal
අද නිදාගන්න පෙර alarm එක set කළා.,Normal
අද පන්තියේදී යාලුවා මට උදව් කලේ නෑ මට තනියම කරන්න වුනා අමාරුයි,Bad
අවසානයේ ඔබේ ප්රියතම ගීතය පවා අමතක කරන්න එපා,Bad
වෙනදා වගේම දවසක්.,Normal
පැනුම් හැන්ගීම් තියෙනවා කාරී නමඋත් බලපෑමක තියෙනවා කරන පුරුෂ වෙන්න ඕනය,Bad
මගේ හොඳම යාලුවා අද මාව නොකා වෙන අය එක්ක ගියා මට හරිම තනියි,Bad
මම අද ඇඳපු පරණ කමිසයට ගැළපෙන එක ගැන සතුටුයි,Happy
නමුත් කිසිවෙකු තේරුම් නොගන්නා බව ඔබට පෙනේ,Bad
අද පාසලේ කාලය ටිකක් ඉක්මනින් ගියා.,Normal
කවදා හරි තනියම දැනුණා නම් ඔයාට මැරෙන්නත් පුළුවන්,Bad
පාසල් වර්ෂය බලාපොරොත්තු වූවාට වඩා ඉක්මනින් අවසන් වෙයි කියලා දැනගත්තම මට සතුටු හිතුනා,Happy
මට අලුත් දුරකථනයක් ලැබුණා. ඒක විශේෂයි මොකද මට මෙතෙක් දුරකථනයක් නොතිබුණා,Happy
ඒක නරක අතට හැරෙනු තියෙනවා කියලා ඔබ දන්නේ අල්ප වශයෙනි,Bad
මට තවමත් මැරෙන්න ඕන ස්ථාවරයි,Bad
මට විවිධ ස්ථාන ත් ත් ක ලකුණක් තිබේ,Bad
අද මාර්කට් ගියා එත් හිතට විශේෂ දෙයක් දැනුනේ නෑ,Normal
අද ඉස්කෝලේදී කෙනෙක් මාව ගහලා ගියා,Bad
මම පන්ති කාමරයට යනකොටම ළමයි දුවගෙන ඇවිත් මාව බදාගත්තා,Happy
බොහෝ දේ වෙනස් කරන්න සහ සංවර්ධනය කරන්න සහ සතුටින් ඉන්න එකට,Happy
අද වැඩ ටික සරලව කරගත්තා.,Normal
අද කතාබහ ටිකක් තිබුණා.,Normal
අද වැඩ ටිකත් කාලයත් සාමාන්යයි.,Normal
අද දවසේදී වැඩි සෙල්ලම් නැහැ.,Normal
අද යාළුවා මට පොඩි දේකට බැන්නා. මට හරිම කණගාටුයි,Bad
අද හැමදේම සාමාන්යයි.,Normal
පසුගිය අප්රේල් මාසයේදී මගේ පැරණි ළමා මිතුරියගේ ආටි වැනි උපන්දිනයට හෝ ඇගේ මංගල උත්සවයට මට ආරාධනා කළා මේය අවන්හලක සමරන විශාල උත්සවයක් වන අතර බොහෝ දෙනෙකුට ආරාධනා කරනු ලැබෙනවා මාංගල ක්රීඩිකාව ඇගේ රන් ගවුමෙන් ඉතා අලංකාර වන අතර ඇයගේ මංගල තේමාව හොඳයි මම මෙම උත්සවයට සූදානම් වූ අතර මගේ පැරණි ළමා මිතුරිය දැන් කාන්තාවක් වීම දැකී තිබෙනවා,Happy
රුසියාව නැවතත් අපේ මැතිවරණය හැක් කරන්න හෝ ඒ සඳහා කිසිවක් හැක් කරන්න උත්සාහ කරනු තියෙනවා කියලා මම නොහිතනවා,Happy
හැමෝම මට එපා වෙලා,Bad
අද හිත සන්සුන් තත්වයක.,Normal
අපි කතා කර කර ඉන්නකොට මම අම්මට හිනා ගියා,Happy
අද ප්රධාන මටර්ග විවෘතව තිබුණා.,Normal
මම මගේ අලුත උපන් බිළිඳා සමඟ හුරතල් වී නිදාගත් අතර ඇය මට ඉතා සැහැල්ලුවෙන් හා සතුටට පත් වුණා,Happy
අද දවසේ විශේෂ දෙයක් සිද්ධ වුණේ නෑ.,Normal
මගේ බිරිඳ සමඟ රාත්රී භෝජන සංග්රහයේදී,Happy
මම මධ්යස්ථ චිත්තවේගීය වේදනාවකින් හිටියා,Bad
මම අද මගේ සැමියා සහ මගේ බළලා එක්ක ඇවිදින්න ගියා හිරු එළියත් ලස්සනයි කියලා හිතුණා,Happy
හිත කම්මැලි,Normal
සෑම රාත්රියකම මම හිතන්නේ මා කළ සියලු වැරදි ගැන සහ මගේ ජීවිතය වෙනස් වුණා හැකි නිසා එම තීරණ ගැනීම ගැන මම කොතරම් කනගාටු වෙනවාද යන්න ගැන,Bad
අපි මල් කපලා මරන්නේ ඒවා ලස්සනයි කියලා හිතන නිසා අපි මැරයෝ නෙවෙයි කියලා හිතන නිසා අපි කපාගෙන මැරෙනවා,Bad
මට දැනුණා දැන් මට ට්වීට් කරන්න වෙනවා,Bad
අද මායි හොඳම යාලුවයි අතර රන්ඩුවක් වුනා එයා මට බැන්නා හරිම දුකයි,Bad
මේ සති අන්තයේ යාළුවෝ කට්ටියක් එක්ක කාර් ෂෝ එකකට යන්න හිතාගෙන ඉන්නවා,Happy
මම අද රෑට පසුව ඔහු සමඟ ගැවසෙන ලෙස මා උනන්දු වූ පිරිමි ළමයෙකු මගෙන් ඉල්ලා හිටියා විට මට අද සතුටක් දැනුණා,Happy
මගේ සේවකයා ඇගේ රැකියාවෙනවා විශිෂ්ටත්වය දක්වති,Happy
අදත් නිතර වගේම කාලය ගත වුණා.,Normal
මගේ හිත සතුටෙන්,Happy
මම මගේ යාළුවාට නැවත කතා කරලා සමාව ගන්න උදව් කළා සතුටුයි,Happy
අද නිදාගත්තේ නියම වෙලාවට.,Normal
අද දවස ගැන විශේෂයක් කියන්න නෑ.,Normal
උදේ කෑම කාලා දවස ආරම්භ කළා.,Normal
කරුණාකර යන්න යන්න මට අද ප්රමාණවත්ය,Bad
අද සවස පොඩි විවේකයක් ගත්තා.,Normal
නව ගීතයක් අහලා බැලුවා.,Normal
කෑම ඉවර කරලා ටිකක් විවේක ගත්තා.,Normal
මම මගේ සහෝදරියන්ට තෑගි ටිකක් ගෙනාවා ඒකෙන් ඔවුන් සතුටු වුණා,Happy
ඊයේ රෑ බීමට විරුද්ධ වෙන්න මට පුළුවන් වුණා,Happy
අද තව කෙනෙක් එක්ක වැඩ බෙදාගත්තා.,Normal
මගේ ඉතා මිත්රශීලී නොවන බළලා වසර තුනකට පසු පළමු වතාවට මගේ උකුලේ වාඩි වී බල්ලන් ආඝ්රාණය කරන විට පවා එහි නැවතී හිටියේය,Happy
මම ඊයේ රෑ රූපවාහිනිය නරඹමින් මගේ බිරිඳ සමඟ කාලය ගත කළා,Happy
විශේෂ දෙයක් වුනේ නෑ,Normal
මම අම්මා හදපු රසවත් බිත්තර රෝල් කෑවා,Happy
කෝප්ප හෝදන්න උදව් කළා.,Normal
මක්නිසාද දෙවුණාන් වහන්සේට තියෙනවා ආදරය නිසා යමෙකුට මාව මගේ ශරීරයෙන් ඉවත් කළ හැකිය,Bad
හිස් ලෝන්ලි දුක්ඛිත මානසික අවපීඩනය කිසි ප්රයෝජනයක් නැහැ වැදගැම්මකට නැහැ නොවැදගත් දෑ අමතක කර ලෝකයේ නරකම හැඟීම ආදරය නොකළ නමුත් ඒවා මට එදිනෙදා දැනෙන ආකාරයයි,Bad
මම මෑතකදී මගේ මිතුරෙකුට නිෂ්පාදනය කර අවසන් කළ ගීතයක් ගැන මට හොඳ අදහස් කිහිපයක් ලැබුණා,Happy
මම උදේ ඉඳන් ප්රශ්නයක වැඩ කරමින් හිටිය ප්රශ්නෙට විසදුම හොයාගත්තම මම ගොඩක් සතුටු වුණා මගේ හැඟීම් විස්තර කරන්න වචන නෑ,Happy
අද උදේ සාමාන්ය වෙලාවට ඇහැරුණා.,Normal
මට ඉන්නත් අමාරුයි,Bad
වෙනස් දෙයක් නෑ අද,Normal
මගේ පෙම්වතිය සති දෙකකින් මම ඇයව දැක නැහැ නිසා ගුවන් තොටුපළෙන් රැගෙන යනවා,Happy
ජරාව තේරුම් ගන්න ටයර් වැඩියි,Bad
වැඩ කළා එත් විශේෂ හැඟීමක් නෑ,Normal
මම කාර් එකට අලුත් ටයර් ටිකක් ගත්තා සතුටුයි,Happy
අද පාඩම් කරන වෙලාව ටිකක් හොඳට ගියා.,Normal
මට හොඳ ආරංචියක් ලැබුණා,Happy
අද දවස නිතර වගේමයි.,Normal
අතුරුදහන් වීමට සහ නැවත නොඑන්නට,Bad
පසුගිය සතියේ අපේ පල්ලියේ නිවාඩු බයිබල් පාසලක් තිබුණා මෙම සිදුවීම මා ගැන පූර්ණ සතුටට පත් වෙනවා මන්ද මෙය ශුභාරංචිය ගැන දරුවන්ට පැවසීමට හොඳ අවස්ථාවක් වන බැවිනි,Happy
අද ගෙදර දවස සාමාන්යයි.,Normal
මුළු දවසම පාහේ මගේ මිණිබිරිය සමඟ ගත කළා,Happy
මට නිකන්ම ඉන්න වගේ දැනෙනවා,Normal
සෑම හුස්මක්ම යුද්ධයක් කියලා හිතන අතර මම තවදුරටත් දිනනු තියෙනවා කියලා මම නොහිතනවා,Bad
සහ වෙනත් අය,Bad
මට මල්ලිගෙන් විපාකයක් ලෙස ලැප්ටොප් එකක් ලැබුණා සතුටුයි,Happy
මට දුකයි,Bad
පුතා අද උදේ ඇවිත් මාව බදාගත්තා,Happy
අද ඉංග්රීසි පාඩම සාමාන්යයි.,Normal
මේ පොත් හොඳ වේවි,Normal
අද නිතුවට නැති දෙයක් වුනා ඒත් විශේෂ නෑ,Normal
මම ගෙදර පිසූ දකුණු කෑම වෙනවාලක් රස වින්දා,Happy
ටයිප් කරන්න මට පීඩනය යෙදීම නවත්වන්න,Bad
අද මම කැමතිම වැඩසටහනක් නැරඹීම මට සතුටක් ගෙන දුන්නා,Happy
අද ඉතින් සාමාන්යයි.,Normal
මගේ හොඳම යාලුවා අද මගේ වචන අහන්නේ නෑ වෙන අයගේ අහනවා මට දුකයි,Bad
මම වඩාත් ආකර්ෂණීය වීමට කැමතියි,Happy
හිතට කලකිරිලා,Bad
නෑ හිතේ තියාගන්න දෙයක් නෑ,Normal
මට දිගටම යන්න හේතුවක් නැහැ,Bad
ඔව් මට දඬුවමක් දුන්නා,Bad
මට නිදාගන්න බැරි තරමට ඒ කටහඬ උස් වුණා,Bad
අද ගෙදර වැඩ ටික කරා.,Normal
පාසල් uniform එක අරගෙන හදාගත්තා.,Normal
මම සාප්පු සවාරි ගියා,Happy
අද ඉගෙනගත්තේ නිතර වගේමයි.,Normal
මගේ මුළු පවුලම සමඟ රාත්රී භෝජන සංග්රහයක් සඳහා ගිහින් අපි කාලය සතුටින් ගත කළ අතර මොහොතකින් කාලය පියාසර කරන බවක් දැනෙනවා් සියලූම පවුලේ අය එකට එකතු වී විශිෂ්ට රාත්රී භෝජන සංග්රහයක් පැවැත්වූහ,Happy
ඔව් ප්‍රශ්නයක් වුණා,Bad
අද වටපිටාව ටිකක් සීතල වගේමයි.,Normal
මට අමතර පැයක නින්දක් ලබා ගන්න හැකි වුණා,Happy
මට සෑම දෙයක් ගැනම පාහේ කනස්සල්ලක් තියෙනවා,Bad
අද උදේ වැඩ ටිකක් හොඳට කරගත්තා.,Normal
අද නියම දවසක්වත් නෙවෙයි නරක දවසක්වත් නෙවෙයි.,Normal
බෑග් එක හෙටට හදාගත්තා.,Normal
මම අලුත් ගෙදරකට ගියා,Happy
උත්සාහ කරන්න හෝ කතා කරන්න හෝ හුස්ම ගන්න හේතුව මම නොදකිමි,Bad
මම අද බොහෝ වැරදි ලෙස ලිංගිකව හැසිරී තියෙනවා,Bad
අනපේක්ෂිතව මුදල් වියදම් වුණා,Bad
මගේ ඇඳුම් ටිකක් ලිහිල් වන බැවින් මගේ ආහාර වෙනවාල ක්රියාත්මක වන බව පෙනේ,Happy
පසුතැවිල්ලෙන් ඉහළයි,Bad
මට ඩෝනට් එකක් දුන්නා මේකෙන් මට සතුටක් දැනුණා,Happy
යාළුවා එක්ක අද රණ්ඩු වුණා. දැන් අපි කතා කරන්නෙත් නෑ. මට හරිම කණගාටුයි,Bad
අද යාළුවෝ මාව සෙල්ලමකට ගත්තෙ නෑ. මට ගොඩක් අමාරුයි,Bad
හවස තේ බීලා ඉඳලා හිටියා.,Normal
සතුටෙන් ඉන්න පුළුවන්,Happy
මගේ සහෝදරිය පවුලේ මගුල් තරුව වන අතර මම හිස උදුම්මන්නෑමි,Bad
මල් එකේදී කාලෙකින් දැකලා නැහැ පරණ යාළුවෙක් ගාවට දුවනවා,Happy
මගේ වැඩකටයුතු ලැයිස්තුවෙන් සිල්ලර බඩු ගන්න යන්න මට හැකි වුණා,Happy
හඔන්ඩ් දවසක ගත කරනන් නමඋත් මාස්ට්රා රථයක හැප්පුනාට කමක නෑහේ,Bad
මට අලුත් අත්දැකීමක් ලැබුණා ඒකෙන් මම සතුටු වුණා,Happy
අද වැස්ස නිසා වටපිටාව හරිම ලස්සනයි,Happy
අද දවසේදී දුරකථන call දෙකක් ආවා.,Normal
මගේ ස්වාමිපුරුෂයා ඇයගේ රැකියාවෙන් උසස්වීමක් ලබා තියෙනවා අතර තවත් මුදල් උපයනු තියෙනවා,Happy
ඔව් අමාරු වුණ දේවල් අමතක කරන්න හිතෙනවා,Bad
හිතට සතුටක් තියෙනවා,Happy
අද යාලුවා එක්ක කතාවක් වුනා දැන් එයා මාව එක්ක කතා කරන්නේ නෑ මට හරිම දුකයි,Bad
සාමාන්‍ය හැඟීමක්,Normal
මගේ ක්රීඩා කණ්ඩායමට හොඳ ජයග්රහණයක්,Happy
ප්රියතම රූපවාහිනී වැඩසටහනක නව කතාංගයක් නැරඹීම,Happy
දෘඩ තැටියේ දෝෂයක් තියෙනවා වූ මගේ පරිගණකය අවසානයේ අලුත්වැඩියා කර තියෙනවා,Happy
මගේ බෑනා එක්ක වීඩියෝ ක්රීඩා කළා,Happy
සමහර විට නිහඬ මිනිසුන්ට කීමට බොහෝ දේ තියෙනවාත් ඔවුන් කිසිවෙකුට විවෘත නොවෙනවා,Bad
අද ඔහේ ගියා විශේෂ නෑ,Normal
ඒක සෞඛ්ය සම්පන්න බැවින් මට ඒ සියල්ල බෝතලය තුළ තබා ගන්න ඉඩ දෙන්න,Bad
මට හිතේ නැති වැඩක් කරන්න වුණා අද ඉස්කෝලේදී,Bad
පන්තියේදී මට ලැබුණු කාර්යය කරගෙන ආවා.,Normal
නෑ නිකන් පන්ති ගියා ආවා,Normal
ජරාව දවස,Bad
අද කාර්යාලයට ආපු අය ගණන සාමාන්යයි.,Normal
මගේ මිතුරිය ආරක්ෂිතව ඇගේ ගමනට ආපුයා්,Happy
ඔබ බිඳීමට හේතුව වූ පුද්ගලයාට මම හොඳින් කියලා කීම කොතරම් වෙනවාදනාකාරීද,Bad
මමත් මගේ බිරිඳත් සතුට බෙදාගත් විට අපි දෙන්නා ගොඩක් සතුටින් හිටියා,Happy
හිතට බරයි එත් කියන්න කෙනෙක් නෑ,Bad
සමහර අය අනෙක් අයට වඩා බිඳෙනසුළු වන අතර ඔවුන් පහසුවෙන් සුව නොවන නිසා හෝ සමහර විට ඔවුන් කිසිසේත් සුව නොවන නිසා ඔබේ වචනය ගැන ඉතා සැලකිලිමත් වන්න,Bad
අද ගෙදර පොඩි සෙල්ලම් කාලයක් තිබුණා.,Normal
ඔව් නව යාළුවෙක් හම්බ වුණා,Happy
ඔව් මගේ යාළුවා ආපු එක සතුටක්,Happy
ඔව් රණ්ඩු වුණා යාළුවෝ එක්ක,Bad
වැඩකට නැහැ වැදගැම්මකට නැහැ මානසික අවපීඩනය,Bad
අද වචන ටිකක් මතක තියාගත්තා.,Normal
මගේ හොඳම යාළුවා අද වෙන අයගේ පැත්තට ගියා මට තනිකම දැනෙනවා,Bad
මම මාසයක් තිස්සේ දකින පාරේ දුක් විඳින එක බලු පැටියෙකු බේරා ගන්න මට උදව් කළ හැකිය මට අභ්යන්තර සාමය සහ සතුට ලබා දුන්නා,Happy
ඇඳ අස්සෙ කාමරය ටිකක් සකස් කළා.,Normal
පසුගිය දවසේ අපේ ගෙදර අලුත් කිරීම ගැන තීරණයක් ගත්තා ඒකෙන් මට සතුටු හිතුණා,Happy
අද කුඩා කටයුතු කරමින් හිටියා.,Normal
අද අසල්වැසියෝ එක්ක කතා වුණා.,Normal
සංගීතය සෑම කෙනෙකුටම ඇසෙන තරම් ඝෝෂාකාරී නොවන බවට වග බලා ගැනීම සඳහා ඔවුන්ගේ හෙඩ්ෆෝන් පිටතට ගෙන ඔවුන්ට සවන් දෙන්න,Bad
අද මායි සුනිල්යි අතර අවුලක් වුණා මම දැන් එයා එක්ක කතා කරන්නේ නෑ,Bad
හරි සාමාන්‍යයි,Normal
ඔව් හොඳට කරන්න බැරි වුණා,Bad
මම සූදානම් නැහැ ඉවසන්න,Bad
අද මම නියමිත වෙලාවට වැඩ කර මගේ ලොක්කාගේ අත්පොලසන් ලැබුවා,Happy
අද පයින් යන වෙලාව සාමාන්යයි.,Normal
මම එතරම් වටිනාකමක් නැහැ ජරාවක් වෙනවා,Bad
පාඩම් පොතේ ගෙදර වැඩ ටික සෙට් කළා.,Normal
යාළුවෝ මට බනිනවා… මට හරිම අමාරුයි,Bad
අද assignment එක ගැන ටිකක් කියවලා බැලුවා.,Normal
මම මගේ ඉවත දැමිය හැකි ආදායමෙන් සැලකිය යුතු මුදලක් ඔට්ටු ඇල්ලූ ක්රීඩා ඔට්ටුවක් දිනුවෙනවා,Happy
මගේ දුව විභාගයෙන් හොඳ ලකුණු ගත්තම මම ගොඩක් සතුටු වුණා,Happy
අපට අත්හැරීමට අවශ්ය වූ විට ඉදිරියට යන්න අපට ධෛර්යය ලබා දෙන්නේ කුමක්ද ඒක අප අවට ඉන්න මිනිසුන් වෙන්න ඕනය මෙය මතක් කිරීමකි ධෛර්යය බාහිර බව දැන ගැනීම යමෙකුට අපගේ පිටුපස තියෙනවා බව දැනගත නොහැකි බව පෙනෙන පරිදි අපව පසුකර යන්න ප්රමාණවත් ඩි,Happy
මම වෛද්යවරියක් ලෙස වැඩ කරනවා. මම ප්රධාන වෛද්ය නිලධාරී තනතුර සඳහා ඉල්ලුම් කර තිබුණා අද උදෑසන මට මේ තහවුරු කරන දැනුම්දීමේ ලිපිය ලැබුණා. මම ඉතා සතුටු වුණා ඔවුන් මගෙන් බලාපොරොත්තු වූ දේ සිහිපත් වුණා. මම හැමදාම දුන්නේ තේපල් මටර්ගයෙන්. මේ සිද්ධිය මතක් කළාටත් සතුටුයි.,Happy
පුරවන ලද ලෝයල්ටි කාඩ්පතකට ස්තුති වන්නට මට නොමිලේ අයිස් දැමූ ලේටේ එකක් තිබුණි,Happy
