Comments,Sentiment
අක්කේ ඔයාගේ කතාවට දෙවෙනි නෑ මගේ කතාව මමත් Kuwait,Neu
අයියා ඇත්තටම වැඩකාරයෙක්,Pos
ඔයත් දිරිය ගැහැනියක් හොඳ අම්මා කෙනෙක්,Pos
Shashikaට අපි හැමෝම ආදරෙයි,Pos
ඇත්තටම ගොඩක් ස්තුතියි අවංක කමට ජයම ලැබේවා දෙන්නටම,Pos
ඒ කටහඬ ඇතුලේ අමුතුම රහක් තිබුණා love you,Pos
ආදරෙයි Wasthi ඔහොමම තදියවයි සුදු අයියාවත් ගෙනමු,Pos
බණට ආරාධනා කරන්න හමුදුරුවෝව සම්බන්ධ කරගන්න පුළුවන් ක්‍රමයක් කියන්නකෝ,Neu
ධුලජ් අයියා හැමදේම මුහුණටම කියනවා මං ඒක කැමතියි,Pos
එච්චරම් හොඳ නෑ ඒත් උඹේ rock reggae style එක මරු නියමයි,Neu
full song එක අහන්න හරි ආසයි,Pos
ඉතාමත් හරබර සාකච්ඡාවක්,Pos
බෞද්ධ අයයි කතෝලික අයයි එකට ඉන්නවා බලන් ඉන්න බැරිව කියපු කතාවක් වෙන්න බැරිද,Neu
එල කොල්ලෙක් දේශපාලනයට අදාළ නෑ,Pos
ලංකාවේ campus කෙල්ලෙක් campus වල තියෙන culture එකත් එක්ක මෙහෙම ඉන්න එක පුදුමකාර දෙයක් මොන දේ උනත් ඇය singing සහ appearance එකෙන් ලස්සනයි,Pos
හරිනා කියපු girlව select කරපු ගමන් ආවේ මේක ආයෙ බලන්න ඇයි මේ කොල්ලට chance එකක් දුන්නේ නැත්තේ කියලා,Neg
තව review ගෙනන්නකෝ,Pos
මට නම් Kasun හරිනවා කියලා sure එකක් තිබ්බා,Pos
අනේ චෝයි බබා ප්‍රියදර්ශන අයියේ ඔයාලා තුන් දෙනාටම බුදු සරණයි,Pos
නිරහංකාර නිළියක් මට දවසක හමුවෙයි කියලා හිතෙනවා ඔබ මට කලින් කතා කළා අපි කිසිදා හඳුනාගත් අය නෙවේ නමුත් අපි ඔබේ රසිකයෝ ඔබ වැනි ආදර්ශවත් නිළියෝ අද නැත ඔබේ වදන් මගේ ජීවිතයට පුදුම රුකුලක්,Pos
අයියා අපි ඔයා එක්ක හැමදාමත් ඉන්නවා ඕන දේකට,Pos
ජාතිවාදය අවසන් කරන්න එපා හමුදුරුවනේ,Neg
මූ රට බයිලා ගහුවට රෙදි එකේ වයස කියන්න බයයි මූ නිකන් මැරෙන්නෙ නැති එකෙක් වගේ මූගේ හක්කේ බුදු රැස් බොක්කේ දඩමස්,Neg
හරවට කියුවා සියල්ල ඇත්ත ඒත් ජනාධිපති වෙන එක නම් හිනාවක්,Neu
තෙරුවන් සරණයි අපේ හමුදුරුවන්ට නිදුක් නිරෝගී දිර්ඝායු වේවා,Pos
ඒකේ මුස්ලිම්ස් මැද යන බල්ලෙක් වස්සකටවත් ඉස්කෝලේ ගියේ නැති ගොනෙක්,Neg
අත්වරයට ලං වෙලා ලමයෙක් වදන්න ඉන්න කෙල්ලට කවුද ගිහින් දෙන්නේ පොලොස් ඇඹුලක් කිරි කොස් මාලුවක් ඔබ හරියටම ඇත්ත කියුවා අක්කේ,Neu
අම්මෝ පිස්සු හැදෙනවා,Pos
කෝයි සක්කිලියද dislike දන්නේ බෝලට අම්මෙක් නැද්ද,Neg
අඩෝ මෙහෙමත් voice එකක් select උනේ නැ කියන්නේ අපරාදයක්,Neg
හිතට වදින පට්ටම සිංදුවක් ඇස් වලට කදුළුත් ආවා,Pos
කවුද මේ සිංදුවට කැමති මං වගේ,Pos
මේකට male voice එකක්ත් තිබ්බානම් superb ඒ අඩුව තියෙනවා,Neg
මෙච්චර හොඳට කියලත් හැරුණේ නෑනේ වැඩක් නෑ,Neg
අම්මගේ රෙද්දේ අවසන් ලියුමක් කියුවේ ඇයි යකෝ ලියත්අඹර පට්ට,Neu
අර ඔයාගේ කතාව හරි radio එක කවදාවත් මැරෙන්නේ නෑ ඔයාගේ වැඩසටහන මං කවදාවත් වැරද්දන්නේ නෑ ඒතරම් සුපිරි කටහඬක් ඔයාට තියෙන්නේ බුදුසරණයි,Pos
ජාතිය ශ්‍රී ලාංකික කියුවා නේ මරු වැරදින්නේ නෑ ඔයාට,Pos
මූ මොළයක් නෙවේ මොළය ගෙනපු නවකයෙක් යකෝ සුභ පැතුම් bro Gehan,Pos
වැටෙන්න එපා කොහොමත් ඔයා වැටෙන්නේ නෑ හරි දේ කරන්න likes වලට unlikes වලට ඔයාව වට්ටන්න බැ අපි ඔයාත් එක්ක ඉන්නවා,Pos
The Voice live ඕනේ කියන්නේ කවුද,Neu
ගොඩක් අඩම්බරයි අක්කේ මං පොඩි කාලේ ඉදන් ආසයි ඔයාට අද ඒට වඩා ආදරයක් හොඳ උපදෙස් ගොඩක් ලැබුණා,Pos
පට්ට මගේ එක,Pos
කුමාර වල්ගම කියන්නේ රටට ආදරේ කෙනෙක් නෙවෙයි,Neg
Posh scene එකෙන් නැතුව කට අරලා සිංදුව කියුවා නම් තව ලස්සන වෙන්න තිබ්බා,Neg
දර්ශන කීයත් තිබ්බත් අපේ උන් දන්නේ එකයි ලිංදේ ඉන්න ගෙම්බෝ නේ,Neg
bandsලා කට්ටිය ගන්නේ කලින් හිතන්නේ කියනවා එන්න හිතන්නේ උනුත් එන්න නෑ,Neu
ගීතයට අසාධාරණයක් කළා කියලා හිතුනේම නෑ කටහඬත් ලස්සනට තිබුණා එට වඩා කපෙන්න ඕන අය තේරුනා anyhow good luck මල්ලි අතහරින්න එපා කවදාහරි හොඳ තැනකට එන්න,Pos
කට කෙව්වත් මූ සිරා කතාව කියන්නේ මචං,Pos
හොට්ටෝට මක කියලා politics කරනවද හොට්ටෝ,Neg
අයියේ bitcoin mining කරන්න free බැරිද,Neu
සිංදුව ලස්සනයි ගොඩක් video එක නම් අන්තිමයි,Neu
විලේ ලඟ ගහ නැති video එකක් වයසට නෙවේ වඩ හබයි song එක නම් ගොඩක් ලස්සනයි සුභ පැතුම්,Neu
ඔබ ගරු කළ යුතු පුද්ගලයෙක් ඔබ ගැන ඇත්තටම අඩම්බරයි අපේ ලංකාවේ සිංහලකම අමතක කර ජීවත් වන අයට ඔබ හොඳ ආදර්ශයක් God bless you forever,Pos
අක්කි ඔයා හොඳ අම්මා කෙනෙක්,Pos
සුභ පැතුම් නංගි ඔයාත් ඉස්සරහට යන්න ඔයාගේ සිංදු මං කලින් අහලා තියෙනවා හරිම සතුටුයි ඔයාව මෙහෙම දැකගන්න ලැබීම,Pos
ඔබ වහන්සේ කියන්නේ සහතික ඇත්ත හමුදුරුවනේ,Pos
නම් ඇත්තමයි කියන්නේ සාක්ෂි නැති නිසා කොච්චර නම් නිවැරදි කරුවන් වැරදි කරුවන් කරනවාද උසාවි වලින් මටත් වෙලා තියෙන්නේ ලොකු කරදරයක් උසාවි නිසා,Pos
ඕක එනකම් තමයි බලන් හිටියේ,Pos
මේක UK නෙවෙයි සිංහලෙන් කියපන්,Neg
වාව් සුපර්බ් දැනට හය පාරක් අහුවා එත් මදි sure ඔයා තමයි Voice Sri Lanka good luck Shreya Ghoshalගේ එකත් ඉක්මනට අහුවා ඒ song එකේත් live එකේ ඔයාට එහෙම energy එකක් නෑ සුපර්බ්,Pos
මම ගන්න උදව් කරා අයියේ,Neu
මම මේ ගීතය වතාවක් පමණ අහුවා ඒතරම් ලස්සනයි එපා වෙන්නේ නැති ගීතයක්,Pos
ගොඩක් ආසාවෙන් බලන channel එක තමයි Wasthi සුභ පැතුම් අයියා ඇතුළු සමස්ත crew එකටම ජයෙන් ජය,Pos
ඇත්තටම ලස්සන සිංදුවක් ලස්සන video එකක්,Pos
නියමයි පරක්කු වෙන්න ඕන නෑ හනි හරෙන්න නැතුව,Pos
දැන හෝ නොදැන කාටවත් නරක විදියට කතා කිරීමෙන් වලකින්න මේ කෙනාගෙන් ආදර්ශයක් ගන්න ඕන,Pos
මේක නියමයි මේක ආදරවන්තයින්ට ගැලපෙනවා,Pos
ඔයා කයිය ගහන ඔක්කොම බලෙට ආවම තමන්ගේ මල්ල පුරව ගන්නවා විතරයි,Neg
අහන් ඉන්න පුළුවන් clear කටහඬක්,Pos
coach Shashikaගේ මහන්සිය හොඳයි best singer අපිට,Pos
මොළෙන් වැඩේ කරා කියලා හිතෙනවා ඉස්සරහට යන එක ගැන හිතලා,Pos
ඇත්තටම මං මේක බලුවේ නෑ මං phone එක setup එකට jack කරලා අහුවා හොඳට sound එකට තරම් එයාගේ හැඩය අපි වශී වෙලා ඉදිරිපත් කරන විදිහ දැකගන්න ඕන හරිම ආසම නිවේදකයෙක් එයා නියම program එකක්,Pos
ඔයා සිංදුව මෙලෝ රහක් නැති විදියට කියපු අය තේරීලා තියෙනවා අනේ මන්ද,Neg
ඇත්ත කතා කරනවා respect කරන්න ඕන කෙනෙක්,Pos
සුදු බණ්ඩා ඔබට සුභ මංගලම්,Pos
නවීන් කියන්නේ කිසිම වැඩක් කරන්න බැරි මිනිහෙක් මේ රටට කෙලවෙලා තියෙන්නේ ඔන්න ඔයා වගේ හිස් මිනිස්සුන්ගේ ගෝෂාවයි බුද්ධිමතුන්ගේ නිහඬතාවයයි නිසා ඇත්තටම,Neg
හොඳ වැඩේ දෙපිටි ගත්තුවට මිනිස්සුන්ගේ බදු සල්ලි වලින් ගත්තා වාහනේ විකුණලා ලෝකෙට පෙන්වා සල්ලි දෙදෙනවා,Neg
ජීවිතේවත් හිතුවේ නෑ මෙච්චර serious පැත්තක්ත් ඇති කියලා ගේ අයියේ respect bro,Pos
දැන් ඉතින් එක ඉන්නවා එලම,Pos
Asus PC හොඳයිද කොයි වගේ හොඳ කියලා කියන්නකෝ,Neu
යාලුවා අවංකව හිතන්න ඒ නායකයාද ඒ girlද වැරදි කියලා අනික ආදරයට old එක අදාල නෑ නේද,Neu
Q and A එක පටන් ගත්ත එක හොඳයි,Pos
මම ආස කරන පට්ට චරිතයක් සුභ අනාගතයක් අයියේ,Pos
අර course එක ගැන කියපු එකට අයියාට ගොඩක් ස්තුතියි,Pos
රන්ජන් ඉතින් Christian නේ ඒකට වඩා දෙයක් බලාපොරොත්තු වෙන්න බැ ඔයා දෙගොල්ලන්ටම ඕනේ බුද්ධාගම නැති කරන්න නේ,Neg
මගේ අම්මත් ඔයා වගේමයි අක්කේ ඔයාගේ කතාව කියනකොට මට මගේ අම්මා ගැන දුක හිතුනා,Pos
අනේ චූටි නංගියා දුකයි අනේ,Neg
දිපානි ඔයෝ හොඳට අහගන්න බන් වසක් පොයට සිල් ගන්න ගැණියේ,Neu
නොදකින් විතරක් පොන්නයා,Neg
වාව් හරිම ලස්සනට sing කළා ඔයා,Pos
පව් යකෝ බල්ලා,Neu
මේ සැරේ presentation එක නම් පට්ට අයියේ හැම එකෙම cost එකත් එක්ක දාලා තිබ්බ එක නම් සුපිරි,Pos
උඹටත් පිස්සු ලහිරු උඹ views වැඩි කරගන්න ඕනේ හුතත්තාක් කරයි ගොන් හරකා වටිනා දෙයක් කරන් බන්,Neg
මාරම ලස්සනම ලස්සන voice එකක්,Pos
නියමට වදින්න ඕන තැනට කියන්න පුළුවන් කාන්තාවක්,Pos
සිංදුව ලස්සනයි අර පොඩි කෙල්ලව අඩුව පව් ගායනය ලස්සනනම් මොකෝ අර උන් හරිනේ නැත්තේ,Pos
මේ අපරාද මැද නිහඬ නොවෙලා තරුණයිනේ,Neg
true අපේ හමුදුරුවනේ,Pos
පාර්ලිමේන්තුවේ ඉන්න ඔවුන් කුඩු නොගහුවොත් තමයි පුදුමය ලංකාවේ ඉන්න පිස්සෝ ටික ඔක්කොම ඉන්නේ පාර්ලිමේන්තුවේ නේ,Neg
අපි අනාව ඔබතුමා වෙනුවෙන් ලංකාවට මේ ලඟ චන්දෙට ජයවේවා,Pos
මම ගොඩක් ආදරෙයි ඔයාට මගේ ආසම නිළි රැජින ඔබයි ආදරණීය මවක් තුනුරුවන් සරණිසි දෝනිටත් ඔයාටත්,Pos
ඔබතුමාගේ කතාව සහතික ඇත්ත අහන ගමන් comment එකක් කරන්න ඕන කියලා හිතිලා ආවේ කතාව තව දිග උනාම තවත් හොඳයි කියලා හිතුනා,Pos
ඇත්තටම හොඳ මවක් තමන්ගේ ආශාවන් පස්සෙකලා දරුවට මුල් තැන දුන්න උදාාර මවක් බුදු සරණයි,Pos
එල්ස්ස් බට් සිංදුවට video එක ගැලපෙන්නේ නෑ,Neg
සුපිරි බන් සුභ පැතුම් සමන් ලෙනින් මහත්තයාගේ කටහඬ එනවා සමහර තැන් වල,Pos
ප්‍රියා අයියා යන්තම් කෝදුර කෝදුර හිටියා නේ කොහොම උනත් මං ඉතාලියේ song එක නම් තාමත් පිස්සුවක්,Neu
Hirustar feeling එකක් ආවේ,Pos
කුමාරි දිරිය ගැහැනියක්,Pos
පව් නේද මහන්සියෙන් ඉගෙනගත්ත එකට ලොකු scene කියවන්න ගිහින් උමාරියා ව තෙරුවා අම්මටසිරි තමයි,Neu
Wasthi පටන් ගත්ත කාලේ ඉදන් දැනන් හිටියා well done brother,Pos
Kasun chair එකෙන් බැස්සුවා වඩ්ඩෙක්,Pos
සම්පූර්ණ සහ වැරදි අදහස්ත් තියෙනවා,Neu
තව ක වගේ ඕන මිලියන් ගහන්න ජය වේවා,Pos
මහ දවල් හීනයක් මේක,Neu
යකෝ මේක යකාගේ නීතියක් මුන් ඔක්කොම බල්ලෝ මාර වැඩක් නේ,Neg
අක්කා කියන්නේ චරිතයක් මම ගොඩක් like,Pos
සුද්දෙක් හරි ඇවිල්ලා හරියට භාවනා කරන හැටි ඉගනුවොත් අපේ උන් පණ ගෙන කරයි හැබැයි මෙහේ හමුදුරුවෝ බණත් විකුණලා දේශපාලනෙත් කරලා බත් ගුලියට බුදු දහම විකුණලා කයි,Neg
මරු ආයෙ තේරෙන්නේ නැති උනත් බොක්කටම වදින්නවා band එකත් මරු අහ ආයෙ ඉතින් කියන්න ඕන නෑ,Pos
ලංකාවේ degree ගත්තම cricket ගහන්න තමයි වෙන්නේ,Neu
ගොඩක් ආදරේ කරන කෙනෙක්,Pos
ජාතිවාදේ චන්ද වැඩක් නෙහෙ සෑමෝම එකවී රට දියුණු කරමු ජාතිවාදින් තමයි අවුරුදු ගණනකට අපේ පොඩි රට ආපස්සට ගෙනියන්නේ,Neu
ගොන් බඩු ගන්න එපා බන් උඹ එල,Neg
ජයම වේවා ජේසු පිහිටයි,Pos
එයා සිංදුවත් එක්කම අඬනවා,Pos
ජීවිතේ අවසාන භාගයේ පිනක් දහමක් කරගෙන පඩුවේ ඉන්නවා හලෝ බෙරේ වැඩ කරන්න දගලන්න එපා,Neg
හරිම fun program fun bumps Shashika Umariya,Pos
මේ අපේ ගොන් හරකා අපේ ලංකාවේ අයව පහත් කරලා නේ ප්‍රශ්න අහන්නේ නිල් පාට shirt එක ඇඳගෙන ඉන්න එකාගේ කණ පලන්න ඕන ලංකාව පහත් කරනවට ගොනා,Neg
මේ කොල්ලා Voice Sri Lanka වෙනවා අනීවා,Pos
ඇස් වලින් කඳුළු වැටුණා මටත් මගේ අම්මා ආදරෙන් රැකබලා ගන්නවා හැමදාමත් අපේ හමුදුරුවන්ටත් අම්මටත් බුදු සරණයි,Pos
Chanuka මොරා comment කරයිද බලමු,Neu
ඔබට රට වෙනුවෙන් කැපවී ජනාධිපතිවරණය ජයගන්න ශක්තිය දහිරිය ලැබේවා සියලු දේවගේ ආරක්ෂාව ලැබේවා,Pos
Happy New Year ප්‍රියදර්ශන අයියේ build එක නම් super,Pos
අර අහිංසක බල්ලට ගහනකන් උඹ පුක දුන්නද,Neg
ජාති භේද බල බල හිටිය හින්දා තමයි ලංකාව විනාශ වෙලා තියෙන්නේ ආගම ජාති භේද බැලුවේ නැතුව එකට වැඩ කරලා තිබ්බානම් Singaporeව අපිට පරාදිලා,Neg
අයියේ competition එක පටන් ගන්නේ නැද්ද,Neu
Hari TV කියන්නේ හොඳ program තියෙන channel එකක් Dialog TV එකේ ඔයාලගේ channel එක දාන්නොත් හොඳයි,Pos
බෝම්බ ගහන්න තිබුණේ මුන්ට,Neg
පුදුම විදිහට ආදරේ කරන චරිතයක් thank you අයියේ,Pos
යකෝ සිංදුවක් ගහලා ඉද්දිත් මේකත් එනවා කියන්නේ මේකට නියම music පිස්සුවක් තියෙනවා,Pos
Gehanගේ interview තරම් හිතට ඇල්ලුවේ නෑ මොකවත්,Pos
ඒ ගමන මේ ගමන එතකොට සසර ගමන what an inspirational and respectable woman,Pos
මේ voice එක උදේට අහුවේ නැත්තම් සමහර වෙලාවට උදේ boring වගේ thanks අයියා,Pos
ගොඩක් දුක හිතුනා කුමාරි අක්කේ ඔයාගේ ජීවිත කතාව අහුවම මගේ ඇස් වලින් කඳුළු වැටුණා කවමදාවත් ගැහැනියගේ ජීවිතේ ඇතුලන්තය නොදැක අපහාස කරන්න එපා,Pos
අයියේ PC එකක් හදාගන්න ඕන නම් එක දන්නකෝ,Neu
Shashika ඔයා නම් හරි ලස්සනයි හදා,Pos
cigarette බොන්න කවුරුත් බලපෑම් කරන්න ඕන නෑ ඔයාගේ හිත හරි හයිය කෙනෙක් ප්‍රේක්ෂකයෙක් විදිහට ඉල්ලීමක් කරනේ ඔයා ගොඩක් කාලයක් ජීවත් වෙන්න ඕන,Neu
ඔයා නම් සුපිරි ප්‍රියදර්ශන අයියේ,Pos
අක්කි ඔයාගේ voice එක ගොඩක් ලස්සනයි මම online එන හැම වෙලාවකම මේ song එක අහනවා,Pos
යකෝ රෑට දාන්න ආවා රට දිපියව් උදේට අපි වැඩ,Neg
මේ තමයි චීවරධාරින් මතක තියාගන්න පොන්නා රන්ජෝ,Neg
අම්බෝ ඒක Shashikaගේ sister වගේම voice,Pos
අත්ත හමුදුරුවනේ රටේ වාසනාව තමයි අපේ ජනතාව ජීවිත පූජා කරේ රට බේරාගන්න තමයි දැන් පේනවා නේ,Pos
සුපිරි කිසි කුහක කමක් නැති මනුස්සයෙක් නියමයි මචන් එල,Pos
හරියටම හරි පුතා ජාතිය ඉස්සරහින් label ගහගත්ත උන් අදටත් ශ්‍රී ලාංකිකයන් බෙදාබින්න කරන්නේ තවමත් තියෙනවා අපි උන්ව පරාජය කරන්න ඕන එකම රටක් එකම නීතියක් එකම ජාතියක් ලෙස ජීවත් වෙන්න ඕන අපේ දරුවන්ට,Pos
Dulaj පට්ට පොරක් බොක්කෙන්ම කතා කරනවා,Pos
Samithaගේ දුවට මේවා දැකගන්න ලැබේවා,Neu
Good morning admin ඔයා සෙල්ලම් කරනවානේ ban කරන්න,Neu
එල එල අයියා good luck ආවෙන් බලුවේ ඔක්කොම good luck Lahiru අයියා,Pos
hats off හිතට ලොකු හයියක් ආවා thank you,Pos
අපි school යනකාලේ ඉදන් ගොඩක් ආදරේ කරන නිළියක් රඟපෑම අති විශිෂ්ටයි නිරහංකාර නිහතමානී මවක් සැමියගෙන් වෙන් වෙලා හිටියත් ඉතාම වැදගත් විදිහට ජීවත් වෙන ගෞරවය දිය යුතු සහෝදරියක්,Pos
