text,mood,label
නෑ නිමල් මහත්තයා එයා අයිත් හොරකම් කරන එකක් නැ එයාට නියම දඬුවම තමයි දුන්නේ ගහන බනින ක් රමයට වඩා ඒක හොඳයි,Happy,2
ඉවසීමෙන් සංයමයෙන් වැඩ කළොත් යහපත් සමාජයක් ගොඩනගන්න පුලුවන් නැත්නම් උසාවි පොලිසි ගාණේ ගිහින් තමයි ගැටලු විසදාගන්න වෙන්නේ,Happy,2
ගෙවතු හිමියාට ඔබ ආදර්ශවත් ගොවිමහතෙකි කෑ දේ ගදයි දුන් දේ සුවදයි බේබදු සොරාට මනුෂ් යයෙක් ලෙස හැසිරෙව අඩුම තරමේ පොහොයටවත්,Happy,2
කාටත් හොද වටිනා ආදර්ශයක්,Happy,2
හිත හොද වැඩි උනාමත් ප් රශ්න,Bad,0
අර පොල් සොරකම් කල පුවතට හාත් පසින් විරුද්ද වැඩක් මේ පුවතින් තියෙන්නේ,Normal,1
අකුරස්ස පැත්තෙ ගමක මහත්තයෙකුට රට රැකියාවක් ලැබිලා ගියාලු ගිය දවසෙ ඉදලා මහත්තයාගෙ යාලුවාගෙන් නෝනට අයුතු යෝජනා එනවලු මේකට විසදුමක් හොයලා නොලැබුන තැන නෝනා ඒ යාලුවටම කතා කරලා ඇහුවලු මෙහෙම වනචරයෙක්ගෙන් මට කරදරයි ඒකට මොනවද කරන්නේ කියලා මම කියපු දේ තේරුනාද මන්දා,Bad,0
ඉතින් ඒ මනුස්සයාපුදුම මනුස්සයෙක්,Happy,2
එල්ලා මරන්න නියම කරන්න කාගේ උනත් ජීවිතයක්,Bad,0
මිනී මැරීමට තැත් කිරීම එල්ලුම් ගහ හිමිවන වරදක් වැරදි කරුවනට දඬුවම් ලැබේවා,Bad,0
සිතට දුකක් දැනුනු විට එය නිවාගැනීමට යහපත් මාර්ගයක් තෝරාගන්න බුද්ධ ධර්මයේ පිහිට පතන්න අයහපත් මාර්ගවලින් විසඳීමට ගියවිට සැමදෙනා දුකට පත්වේ,Normal,1
මේ වැඩේට උපරිම දඩුවම් දෙන්න ඕනේ,Bad,0
හිතක් පපුවක් නැති මිනිස්සු,Bad,0
ඉතා හොදයි,Happy,2
මේ වරදටනම් උපරිම දඩුවම් දෙන්න ඕනේ,Bad,0
මේ පුද්ගලයා වෙදකමට කොහෙත්ම සුදුසු නැහැ ිනයම වෛද් යවරයා බෝසත් ගුණවලින් පිරිපුන් කෙනෙක් විය යුතු නිදා,Happy,2
අනේ මන්දා මෙහෙමත් අජාසත්තලා,Bad,0
ඇයි මිනිස්සු දැන දැන වැරදි කරන්නේ කවදා හරි ඇත්ත එළිවේවි,Bad,0
මේ වගේ දේවල් කරන අයගේ රෙදි ගලවලා උසාවි යවන්න ඕනේ,Bad,0
මේ අපේ රටේද,Bad,0
මේවට උපරිම දඩුවම් දෙන්න,Bad,0
වෛරයෙන් වෛරය නොසන්සිදේ වැරදි කරුවන්ට නිසි දඩුවම් දෙන්න,Bad,0
දැන් ලංකාව බෞද්ද රටක් කියල හැම කෙනෙන්ක්ටම ඕනෑම දෙයක් කරලා අවරුදු විතර හිරේ දාල නිදහස් කරනවා මමනම් කියන්නේ මේවගේ වැරදිවලට මේ තුන්දෙනාවත් බස්සන ඕනෙ ඇසිඩ් බැරල් එකකකට පණපිටින් බොරුවට මුන්ව හිරේ දාල අපේ අදායම් බදු වලින් මුන්ට කන්න දෙන්න හොද නැහැ,Bad,0
මෙයාට නීතියෙන් නැතත් ජනතාවගෙන් දඩුවම් ලැබේවි,Bad,0
මේ අයට උපරිමයෙන් දඬුවම් දෙන්න,Bad,0
ඇසිඩ් වලින්ම මරණයට පත්කළ යුතුයි,Bad,0
බලන්න ලංකාවේ තියෙන සමානාත්මතාවය වෙන කොහේවත් තියෙනවද කියලා,Happy,2
කරන කලට පවු මිහිරිය මී සේ විදින කලට දුක් දැඩිවෙයි ගිනි සේ,Happy,2
අයෙක් නසා තම දියුණුව පැතූ මොවුන්ට නීතියෙන් කෙසේවෙතත් ඇතුළේ අයගෙන් නම් නිසි දඩුවම් ලැබෙයි,Bad,0
මේ මිනිසුන් මෙවැනි දේවල් කරලා අන්තිමේ මොනවද ලබන්නේ,Bad,0
අපි මේක සෞදියට භාරදෙමු,Bad,0
මෙයාලට උපරිම දඩුවම් දෙන්න,Bad,0
කෝ බොදු බල සේනාව,Bad,0
බුරුලක් දෙන්න එපා,Bad,0
දැන් ලංකාවේ බටහිර වෛද් යවරුන්ට වඩා ආයුර්වේද වෛද් යවරුන් පිරිහිලා,Bad,0
අනික් අයටත් දැන ගන්න උපරිම දඬුවම් දෙන්න,Bad,0
මෙන්න ලංකාව උතුම් යැයි මොරදෙන්නන්ට හොද කණේ පහරක්,Bad,0
අන් අය දිහා වැරදි විදියට බලන්න ප් රථම තමන්ගේ වැරදි හදුනාගන්න මිනිසුනේ,Bad,0
බය නැතිව කරනවානේ මේවා,Bad,0
බුරුලක් දෙන්නම එපා,Bad,0
සුදු වෑන් එකක් එන්න ඕන දෙනාවම අරන් යන්න,Bad,0
දැඩි දඩුවම් දෙන්න,Bad,0
අපේ රටේ කරුමෙට ඉතින් අපිට නැති වෙන්නේ ශ් රේෂ්ට උතුම් මෙලොව සැබෑ දෙවිවරු වන මනෝ වෛද් ය හරිස්චන්ද් ර වෛද් යතුමා වැනි අය තමයි ඒකටත් එක්ක මේ වගේ අය තාමත් මේ රටේ ඉන්නවනේ මේ වගේ අය අර වෛද් යතුමා වගේ අයටත් කැළලක්,Happy,2
හිඟන්නන්ට මුදල් දීලා අපි හාඟන්නු වෙන එක විතරයි වෙන්නේ,Bad,0
අපි කෙනෙකුට යමක් දෙන්නේ යහපත් චේතනාවෙන් ඉන් යහපත් යමක් කිරීම ලබන්නාගේ වගකීමයි,Happy,2
නියමයි ලෝබ මුදලාලිට හිඟන්නගෙන් පාඩමක් තමන් හිඟමනේ ගියාට ලෝබ නෑ කියලා නොකියා ගියා,Bad,0
අදකාලේ හිගන්නා දුගියෙක් නොවේ වාහන බැංකු ගිණුම සැප ගෙවල් තියන මුදල් පොලියට දෙන හොඳ දක්ෂ ව් යාපාරික කෙනෙකි මුදල් දෙන මැදපන්තියේ මිනිස්සු හැබෑ හිගන්නෝය හින්ගන්නන්ගෙන් බදු මුදලක් ගැනීම ළඟදීම සිදුවනු ඇත,Happy,2
ඒ අය නෙමෙයි හිගන්නෝ දැන් මාසේ පඩියට රස්සාව කරන අපියි හිගන්නෝ,Bad,0
ඉතින් මොකද හිගන්නෝ කියලා එයාලට ආසාවල් නැද්ද,Bad,0
තව ටික කාලෙකින් අපිට හිඟාන්නන්ගෙන් සල්ලි අපිට ඉල්ල ගන්න වෙයි වගේ,Bad,0
හිඟාකෑමත් හොඳ රස්සාවක් වෙලා,Bad,0
හිඟන්නු කියන්නේ සල්ලිකාරයෝ අපේ මෝඩ මිනිස්සු සල්ලි දෙන එක තමයි වැරදි,Bad,0
හිගාකන එක එයාගෙ රස්සාව සෙන්ට් නෙමෙයි ඕනෑ දෙයක් ගාන්න එයාලටත් අයිතිය තිබෙනවා,Bad,0
ඇයි ඒ මිනිස්සුන්ට සුවද විලුවන් අකැපද,Bad,0
සල්ලි තිබුණත් එයාලා හිගන්නොනේ,Bad,0
ඇයි හිගන්නන්ට සල්ලි නැද්ද අපි තමයි ලොකුම හිගන්නෝ,Bad,0
අපේ රටේ තියෙන තත්ත්වය අනුව මෙවැනි දේවල් වහාම පොලිසියට දන්වන්න ඕනෑ කියලයි මට හිතෙන්නේ,Bad,0
සල්ලි දීල බැනල වැඩාක් නෑ මමනම් දෙන්නෙ බොහොම අහම්බෙන් නොදීම බෑ කියල හිතුනම ඊට පස්සෙ ඒක අමතක කරනව මිසක් අරූට හිතින් බැන බැන ඉන්නෙ නැහැ,Normal,1
පුදුම පුදුම වැඩ තමයි දැන් සිද්ද වෙන්නේ,Bad,0
මට නිකන් පිස්සු වේගේ,Bad,0
සිග්න වෙසින් කවුද ඉන්නේ කියලා කවුද දන්නේ,Bad,0
දුන්න සල්ලි ඉල්ලා ගන්න තිබ්බේ,Bad,0
මුදලාලි දන්න තරම මේ තමයි පිරිසිදු හිගන්නෝ,Normal,1
හිගන්නෝ කියලා ඒ මිනිස්සුන්ට කූල් බීම සුවද විලවුන් පාවිච්චිය අකැපද,Bad,0
ලෝකයේ හැමතැනම ඉන්න හිගන්නෝ ගොඩක් සල්ලිකාරයෝ,Bad,0
කොළේ ඇත්තම එකක්ද,Normal,1
යාචකයෝ ක්ම බොරුව තමයි දන්නේ,Bad,0
ඉතින් එකේ වැරැද්ද මොකක්ද සල්ලි හිගාකන්නේ ඒවා වියදම් කරන්නනේ හිගන්නෝ අපිට වඩා හම්බකරනවා කියන්නේ හූල්ලන්න තරම් දෙයක්ද එයාලට සල්ලි දෙන්න තරම් හිත හොද මිනිස්සු තාම ඉන්නවා කියලා සතුටු වෙන්න,Happy,2
ඔන්න රටකට ගිය කල,Bad,0
සුවද විලවුන් ගන්න වෙන්නැති සිගා කෑවේ,Bad,0
සල්ලි දුන්න අපි නේද පරාද,Bad,0
සරත්ගේ අදහසට මමත් එකගයි,Happy,2
හිගන්නොත් දියුණුවෙලා,Happy,2
නවීන පන්නයේ සිගන්නෝ,Happy,2
අපේ රටේ අය මෙවන් දේවල් ලෝකයට හදුන්වා දෙන්න කොච්චර කැපකිරීම කරනවද,Happy,2
මොකක්ද එයාගේ දුරකතන අංකය,Normal,1
ලංකාදීපයට ස්තුති මෙවන් ලිපි පල කරනවාට,Happy,2
රත්නෙටුල් ශාකය බලන්ගොඩ රජවක ප් රදේශයේ ඇත අවශ් ය නම් ඉහත ලිපිණයට ඊමේල් කරන්න,Normal,1
දේශීය ආයුර්වේදය කියන්නේ රාවනා රජුගෙන් පැවතදෙන දෙයක්,Normal,1
අපේ රාවනා රජුට පින් සිද්ද වෙන්න තමයි,Happy,2
ගරු වෛද් යතුමනි ඔබගේ සේවය ලොවට අවශ් ය වටිනා සේවයකි සකල ලෝ ජනයාගේ හිත සුව පිණිස මෙවන් ඉසිවරු රැක ගැනීම කාගේත් යුතුකමයි ඉතා ඉක්මනින් ඔබතුමන්ලාගේ අගය ලෝකය වටහා ගනීවි එතෙක් මේ දැනුම ආරක්ෂා කර ගන්න ඔබට පින්,Happy,2
ඔය වෙදකම කරුණාකර තවත් අයෙකුට උගන්වන්න,Normal,1
මොකක්ද එයාගේ දුරකතන අංකය කරුණාකරලා කියන්න,Normal,1
අපේ දේ අපි රැක ගත යුතුයි,Happy,2
අපිට ඔබතුමාගේ දුරකතන අංකය දෙන්නකෝ,Normal,1
ඉතාමත් වටිනා ලිපියක්,Happy,2
මෙය ඉතා වැදගත් ලිපියක් ලංකාදීපයට ස්තූතියි,Happy,2
දීර්ඝායු වේවා,Happy,2
හොඳ ප් රවෘත්තියක් මම උදව් කරනවා ඔහුට,Happy,2
කරුණාකර වෙද මහතාගේ දුරකතන අංකය සොයාදෙන්න,Normal,1
වෙද මහත්තයාගේ දුරකතන අංකය දෙන්න බැරිද,Normal,1
රටක් වටින වෙද මහතෙක් දීර්ඝායු වේවා,Happy,2
මෙවන් වෙද දෙවිවරුන්ට රාජ් ය අනුග් රහයවත් දීලා රැකගන්න උත්සාහ කරන්න ඕනෑ ඔබතුමාට දීර්ඝායුෂ,Happy,2
මට කරුණාකර ඔහුගේ දුරකතන අංකය හෝ ලිපිනය එවන්න,Normal,1
මත්තල ගැන මෙහෙම දැනුවත් කරනවට ලංකාදීපයට ස්තූතියි,Happy,2
අනේ මේ පුද්ගලයාව රැකගන්න ක් රමයක් නැද්ද,Bad,0
මට කරුණාකර ඔහුගේ දුරකතන අංකය හෝ ලිපිනය දෙන්න,Normal,1
ඔහු ගැන මට ආඩම්බරයි,Happy,2
අපට ඔබ ගැන ආඩම්බරයි කරුණාකර ලිපිනය හෝ දුරකථන අංකය දෙන්න,Happy,2
අපි කුඩා කග සිට හොඳින් දන්නා කැඩුම් බිඳුම් වෙදමහතෙකු සහ සර්වාංග වෙදමහතෙකු මෙලෙස වෙදකම මතු පරපුරට ලබා දෙන්නට නොහැකිවම මියගියා මොනම ආකරයේ අනතුරකින් හෝ ඇටකටු වලට වුවද හානියක් වුණොත් සතියකින් යථා තත්වයට පත්කරන්න පුලුවන් වෙදකමක් තිබුණා ගම්පහ නැදුන්ගමුවේ බාලසූරිය වෙද මහත්මයාගේ මේ බෙහෙත් එතැනින්ම නතර වුණා අපේ මේ වගේ මිල කළ නොහැකි වටිනා සම්පත් වලට රජයෙන් උදව්වක් නොමැති නම් අපේ එකමුතුකමෙන් වත් රැක ගනිමු,Happy,2
දුරකතන අංකය හරි ලිපිනය හරි දෙන්න,Normal,1
මට පුළුවන් නම් දුරකතන අංකය ලබාදෙන්න,Normal,1
හලා හල කියන්නේ උග් ර විෂක්,Bad,0
මේ වගේ දෙයක් ප් රසිද්ද කිරීම හොදයි දුරකතන අංකය සහ ලිපිනය දැම්මොත් නේද තවත් හොද,Normal,1
මේ වෙද මහත්තයාගේ දුරකථන අංකය ලබාදෙන්න,Normal,1
කරුණාකර වෙදමහතාගේ දුරකථනය සහ ලිපිනය ලැබෙන්න සලස්වන්න බැරිද,Normal,1
අපේ මේ වගේ මිල කළ නොහැකි වටිනා සම්පත් වලට රජයෙන් උදවුවක් නොමැති නම් අපේ එකමුතුකමෙන්වත් රැක ගනිමු,Happy,2
ගොඩක් හොඳයි,Happy,2
මේ වෙද මහතාගේ දුරකතන අංකය දෙන්න,Normal,1
රියදුරා උතුම් කෙනෙක් නමුත් දරුවා ගේ දෙමාපියන්,Happy,2
හොද වැඩක් රියදුරු මහතා කරලා තියෙන්නේ හැබැයි ආයේ යනකොට පොලීසිය දැනුවත් කරලා යන්න වදින්න යන දේවාලේ ඔළුවට කඩන් වැටෙන්න බැරි නැහැ,Normal,1
එකට කිවුවා නම් හරිනේ,Normal,1
ඔය ළමයාව ආපහු අරගෙන එද්දී පොලිසියට එහෙම අහුවුණා නම් පුදුම ප් රශ්නයක් තමයි වෙන්නේ,Normal,1
අම්මයි තාත්තයි ගැන ලියන්න මට හිතෙන දේ මම මෙතන ලියන්නෙ නැහැ,Bad,0
නොසැළිකිලිමත්කමේ උපරිමයටම ගිය දෙමවුපියෝ,Bad,0
ඔයාලා කලබල වෙන්න එපා අපි ඒ දරුවට තනියට සෙල්ලම් කරන්න මල්ලියෙක් හදන්න කියලා ඒ දෙමවුපියන්ට කියමු,Bad,0
රියදුරු මහතාට මගේ ස්තුතිය රථයේ ගමන් කළ අය නිදිමතේ නොවේ ඉඳලා තියෙන්නෙ මට පෙනෙන්නේ නම් වෙරිමතේ,Happy,2
ඒ ළමයට ඔවැනි දෙමවුපියන් ලැබෙන්න ඇත්තේ ළමයගේ පවකට වෙන්න ඇති,Bad,0
මම හිතාගෙන හිටියේ බොරු කතාවක් කියලා,Normal,1
වාහන ඇතුළෙත් ළමා දූෂණ වෙන මේ කාලයේ රියැදුරාගේ ක් රියාව අගය කළ යුතුයි,Happy,2
මොන නාඩගමක් නැටුවත් තමන්ගේ දරුවො අමතක වෙනවද,Bad,0
මේ ඇත්තටම දෙමවුපියොද,Bad,0
ඒ අම්මයි තාත්තයි කොයිතරම් නම් උතුම්ද,Happy,2
නින්දට යනකොටත් තමන්ගේ දරුවා නැති අඩුව නොදැනුනානම් මට අදහාගන්නත් බෑ,Bad,0
පුදුම දෙමව්පියෝ,Bad,0
මෙහෙම දෙමව්පියනුත් ඉන්නවද,Bad,0
ගණන් ගන්න එපා ගුණගරුක දෙමාපිය යුවළකට වූ පොඩි අතපසුවීමක්,Normal,1
මොන නින්දක් ගිහින්ද මෙයාලට,Bad,0
කාටවත් අම්මාව අමතක නොවුණූ එකත් පුදුමයක්,Bad,0
දැන් ඉන්න දෙමාපියන්ට තමන්ගේ දරුවන් අමතක වෙන හැඩයි,Bad,0
දෙමව්පියන්ට තරු පෙන්නේ අර මනුස්සය වාහනේ පිරිසිදු කරන්න නොගියානම් හුස්ම ගන්න බැරිව මොනවා හරි වෙලා උදේ වෙනකොට එහෙනම්,Bad,0
ඔයා එහෙම විතරක් හිතන්න එපා නිස්සංක ඒ වෑන් රියදුරා සිටියේ එම දරුවාගේ වාසනාවට කියන එක ඔයාට හිතුනේ නැද්ද මම හිතන්නේ ඔහු හොද රියදුරෙක් පමණක් නොව සැබෑම පියෙක් කියලයි,Happy,2
රියදුරු මහත්මයගේ ක් රියාව ඉතාම උතුම් තමන් වැරදි නැත්නම් පොලීසියට බය වෙන්න දෙයක් නෑනේ,Happy,2
මෙහෙමත් දෙමවුපියෝ,Bad,0
කට්ටියටම පොඩ්ඩක් පැටලිලා වගේ ඔහොම තමයි,Bad,0
ඔන්න දෙමවුපියෝ,Bad,0
අපි කොහොමද අනුමත කරන්නේ,Bad,0
අම්මා කියන වචනේ තේරුම දානවාද,Normal,1
අයියෝ මෙවන් දෙමව්පියන්,Bad,0
මේක පුදුම වෙන්න දෙයක් නැහැ මේ සම්භන්ධව හදපු ළමා චිත් රපටිත් තියෙනවා,Bad,0
ආදරයේ උල්පත වූ අම්මා ප් රේමකීර්ති මහත්තයා හිටියානම් මොන වගේ මවුපිය ගීයක් රචනා කරයි ද දන්නේ නෑ,Normal,1
මේවට නම් ඉතින් කියන්න වෙන්නේ දෙයියෝ සාක්කි කියලා තමයි,Bad,0
මෙන්න මිනිස්සු,Normal,1
සරදියෙල්වත් සමරුවොත් නරකද ඔහුත් දුප්පතාට සේවය කල කෙනෙක්,Normal,1
සරදියෙල්ටත් උපහාර කළා නම් තමා හොද,Normal,1
හොද වැඩක්,Happy,2
අපේ නමස්කාරය ඔබට,Happy,2
මහත්තයා නරුනත් නාමය අමරණීයයි,Happy,2
සරදියෙල්ලාගේ කාලේ සිද්දියක්,Normal,1
සරදියෙල් මංකොල්ල කෑවේ සුද්දන්ගේ සල්ලි සරදියෙල්වත් සමරනවානම් හොදයි,Happy,2
මිය ගිය පොලිස් නිලධාරියා සදා අමරනීයයි,Happy,2
රාලහාමි ඔබට නිවන් සුව,Happy,2
පොලිස් සේවයට ඔබ ආදර්ශයක්,Happy,2
සදා අනුස්මරණීයයි,Happy,2
සරදියෙල් කියන්නේ සුද්දට විරුද්දව සටන් කරපු කෙනෙක් සුද්දා වෙනුවෙන් ක් රියාත්මක වුණ පොලිසිය අපට අපේ රටේ පොලිසිය කියලා පිළිගන්න බැහැ අපි අලුත් පොලිස් දිනයක් සැමරිය යුතුයි,Happy,2
ඉතාමත් වැදගත් වැඩක්,Happy,2
සභාත් කියන්නේ මුස්ලිම් කෙනෙක්ද,Normal,1
සියළුම පොලිස් නිළ දරුවන්ට අපගේ ප් රණාමය,Happy,2
ලංකා පොලිස් ඉතිහාසයේ පළමු වරට ජිවිතය පරදුවට තබා ක් රියා කර ඇත්තේ මුස්ලිම් කෙනෙක් ඒ වගේම උතුවන්කන්දේ සූර සරදියල්ට උදවු කලෙත් මුස්ලිම් කෙනෙක්,Happy,2
ඇති මිනිහාගෙන් අරන් නැති මිනිහාට දුන්නු මිනිහෙක් සරදියෙල් කියන්නේ,Normal,1
මෙම දිනය කාසියක දෙපැත්ත වගේ සරදියෙල්ගෙත් මරණයට ආසන්නම හේතුවත් මෙම පොලිස් නිලධාරියාගේ මරණයම වීමත් හිතට දැනෙද්දී මොකක්දෝ වගේ,Normal,1
සරදියෙල් කියන්නේ සිංහලයෙක්,Normal,1
ඔබ පොලිස් දෙපාර්ත මේන්තුවට ආදර්ශයක්,Happy,2
ඇයි අපි සුද්දන්ට එරෙහිව වැඩ කරපු සරදියෙල්ව සමරන්නෙ නැත්තේ,Normal,1
ලාංකිකයකු ලෙස මම් මලේ මරික්කාර් හා දීකිරි කෑවගේ සරදියෙල් මගේ ජාතික විරුවන්ය,Normal,1
ලංකාවේ කාන්තා පොලිස් කොස්තාපල් වරියන් දැක්කම හිනා යනවා කෙලින් හිට ගන්න පන නැහැ වගේ,Bad,0
මෙහි මරුමුවට පත් පොලිස් නිලධාරියා මුස්ලිම් ජාතිකයෙක් මුස්ලිම්වරයකු වශයෙන් ඔහු කළ සේවය ශ් රී ලාංකිකයන් වශයෙන් මහත් ආඩම්බරයකි,Happy,2
සමරන්න ඕනා එක නෙවෙයි සමරන්නේ,Bad,0
ඒ කාලෙත් ඉ්සසරහට ගිහින් තියෙන්නේ හලාල් කරපු කෙනෙක්,Bad,0
ඈ බොලේ දැන් එතකොට සරදියෙල්ද දේශද් රෝහියා,Bad,0
සමරන්න ඕනා සරදියෙල් තව තව මේ රටට අවශ් ය වන්නෙත් සරදියෙල්ල ශූර සරදියෙල්ට මා ගේ උපහාරය,Happy,2
සරදියල්ව නේද සමරන්න ඕන,Happy,2
බලන්නකෝ අපේ පොලිස් කාන්තාවන් අනේ ඉතින් මේ අපේ පොලිසියනේ,Bad,0
පොලිසියෙන් මරපු අහිංසක මිනිසුන්ව සැමරුවොත් නරකද හැබියි පාතාපයන්ව නෙමෙයි,Bad,0
නිවන් සුව ඔබට,Happy,2
සමරන්න ඕනේ සරදියෙල්වනේ,Normal,1
සුද්දෝ වෙනුවෙන් මැරෙන්න ගිය කෙනෙක්ව ඇයි සමරන්නේ මේක කව්රුහරි ගොඨාභය මහත්තයට පෙන්නුව නම් එයා වෙනසක් කරයි,Bad,0
අවුරැද්දක් පුරා රට වෙනුවෙන් දිවි පිදූ පොලිස් නිලධාරීන් අද අමතකද,Bad,0
ජනපතිතුමාගේ තවත් හොද වැඩක්,Happy,2
ගොවියට මේ ගමන අවුරුදු නැතිවුණත් ණය බරින් මදක් හෝ නිදහස් වීමට මේ කළ උපකාරය බොහෝ වටිනවා,Happy,2
මේ සදහා නිත් ය ක් රමවේදයක් යොදන්න,Normal,1
මම කියන්නද තවත් විසදුමක් දුර බලන්නේ නැතුව ගෙන්න කොළඹ ගෙනල්ලා කොහේ හරි ඉදගෙන විකුනන්න මාව විහිලුවකට ගන්න එපා,Normal,1
කීයකට හරි විකුණන එකනම් වටිනවා,Normal,1
මේක තාවකාලික පැලැස්තරයක් නේද,Bad,0
අපේ ගොවියො තවමත් මට්ටු වෙලා නැහැ,Bad,0
මිට වඩා වැඩියෙන් විකුනන්න බැරිද,Bad,0
රජය මේවා අරගෙන මොනවා කරන්නද දන්නේ නැහැ හදන්නේ මේ සදහා ක් රමවත් වැඩපිලිවෙලක් අවශ් යයි,Normal,1
ඒ අසරණ ජනතාව තවත් අසරණ නොකර මේ කල වැඩේ හොදයි,Normal,1
අපොන්සු ගොවියන්ට මේ ප් රශ්න එන්නේ වැඩිපුර අස්වැන්න නෙලන කාලයටයි අනිත් කාලවලට මේ ප් රශ්ණ නැහැ,Normal,1
විසිකරපුවට වන්දියක් නැතිද දඹුල්ලේ ඉන්න අතරමැදි ගැනුම්කාර චන්ඩි නහර ගණන් කාරයින්ගේ න් ගොවියා බේරා දෙන්න දිගටම මේ වැඩපිළිවෙල ගෙනියන්න ඔබට පින් සිද්ධ වෙනවා,Bad,0
හැමදේකටම අද ජනාධිපතිතුමාට මැදිහත්වෙලා ප් රශ්න විසදන්න වෙලා රජයේ මුදල් කෝටි ගානක් වියදමි කරලා අමාත් යංශ පවත්වාගෙන යාම විහිළුවක්,Normal,1
මේ වැඩපිලිවෙල දිගටම කරගෙන යනවා නමි හොදයි,Happy,2
