text,mood
මම අලුත්ම ලස්සන ඇඳුමක් මිලදී ගත්තා,Happy
මට ඒක කිසිදා සාක්ෂාත් කරගත නොහැකි බව පරිපූර්ණ වීම දැනෙන්නේ කෙසේද කියලා මම කල්පනා කරනවා,Bad
මම ක්රීම් චීස් සමඟ බේගල් එකක් වීමට කැමතියි,Normal
ඊයේ වගේම අදත් සාමාන්යයි.,Normal
පාසල් uniform එක අරගෙන හදාගත්තා.,Normal
මෑතකදී සැතපුම් 2500 කට වඩා එහාට ගිය මගේ සහෝදරියට කතා කරන්න ලැබීම ඇය තිත්ත මිහිරි වුණා ඇය ඉතා සතුටු වන අතර ඇය ඇය ගැන මා සතුටු වුණා,Happy
මම හැම දෙයක්ම වැරදි කරනවා වගේ දැනෙනවා සහ මගේ සතුට අනෙකා මත රඳා තියෙනවා,Bad
ඊයේ රාත්රියේ මම ආපසු නිවසට යන අතරමගදී මට විද්යාලයේ තවත් පැරණි මිතුරෙකු හමු වූ අතර ප්රසන්න කතා බහක නිරත වුණා,Happy
ගයිස් බර්ගර් සහ ෆ්රයිස් පහක් සමඟ තරඟ කළ දේශීය බර්ගර් සන්ධියකින් විශාල ද්විත්ව චීස් බර්ගර් එකක් ගන්න එක,Happy
මෙය මානසික අවපීඩනයද මානසික ප්රගතියද යන්න කිව නොහැක,Bad
මට තවදුරටත් මගේ ප්රශ්නවලින් මිනිසුන්ට කරදර කරන්න ඕන නැහැ අතර ඒ නිසා මම හොඳින් ඉන්න ලෙස ක්රියා කර ඒ සියල්ල මා තුළම තබා ගන්නෙමි,Bad
කෝප්ප හෝදන්න උදව් කළා.,Normal
මම පියවර පන්තියක් ඉගැන්වූ අතර තවත් උපදේශකයෙකු ඒක මට ප්රශංසා කළේය,Happy
මගේ වැඩකටයුතු ලැයිස්තුවෙන් සිල්ලර බඩු ගන්න යන්න මට හැකි වුණා,Happy
අද ගුරුවරුන් සාමාන්ය පාඩම් ඉගැන්වුවා.,Normal
මගේ මිතුරා වේගාස් හි ඉන්න විට විශාල මුදලක් දිනා ගත් බව මම දැන හිටියෙමි,Happy
මගේ ස්වාමිපුරුෂයා මගේ මෝටර් රථයේ වායුසමීකරණය සවි කර තියෙනවා අතර ඒක මා දැන් ඉන්න ස්ථානය ඉතා උණුසුම් බැවින් ඒක ඉතා විශිෂ්ටයි,Happy
මම මගේ පවුලේ අය සමඟ වෙරළට ගිහින් ඇය මට සතුටක් ගෙන දුන්නා,Happy
අද දවසේදී විශේෂ කරදරයක් නෑ.,Normal
ඇය අඬනවා නම් කිසිවක් නොකියා ඇයව බදාගන්න,Bad
අද සාමාන්ය දවසක් වගේම අවසන් වුණා.,Normal
අද teacher එක කියපු දේ සරලයි.,Normal
අද කාලය ටිකක් පුරුදු වගේම ගියා.,Normal
මගේ ප්රතිබිම්බය මට පිළිකුලකි,Bad
අද බලාගෙන හිටපු දේවල් ටික කරගත්තා.,Normal
නිවසින් පිටව යන ආකාරය මට උගන්වන්න,Bad
හඔන්ඩ් දවසක ගත කරනන් නමඋත් මාස්ට්රා රථයක හැප්පුනාට කමක නෑහේ,Bad
මම යාළුවෙකුගේ උපන්දිනයට කේක් එකක් හදාගෙන ගියා මට සතුටු හිතුණා,Happy
අද උදේ ඇහැරුණේ නිතර වෙලාවට.,Normal
අද ලොකු වෙනසක් දැනුනේ නෑ.,Normal
මම ඉතුරු කෑම වලින් රසවත් රාත්රී ආහාරයක් පිසුවෙනවා,Happy
අද රෑ මා වෙනුවෙන් එහි ඉන්න ලෙස කෑගසන්න,Bad
මගේ බිරිඳ සමඟ රාත්රී භෝජන සංග්රහයේදී,Happy
අද වැඩ ටික කල් දැමුවෙනවා නෑ.,Normal
අපි අපේ සති අන්තය මගේ පවුලේ අය සමඟ සතුටින් ගත කළා,Happy
මම අද රාත්රී ආහාරය සඳහා ඉල ඇට පිසීමෙන් සතුටක් ලැබුවා,Happy
අද පොදු සේවා නිතර වගේමයි.,Normal
දැන් මට ඇය ගැන ලොකු බැඳීමක් තියෙනවා ඇයගේ පළමු වචනය මගේ නම වුණා නමුත් ඒ වෙලාවෙනවා ඔහු හරියටම දන්නේ නැහැ ඔහු කතා කරන්නේ කාටද කියලා ඉතින් මේක තමයි මම ගොඩක්ම කැමති සිද්ධියා් ඇය මට බොහෝ සතුටක් ලබා දෙන අතර ඒ නිසා මම මෙම මතකය ඉතා අගය කරනවා,Happy
මම අද ස්වේච්ඡා සේවයට ගිහින් උදව් කළා ඒකෙන් මට සතුටු හිතුණා,Happy
ග්රීට් බුක් ක්ලබ් එම්ප් වෙනත් සේ්රෘ දෙනෙකුගෙන් යුත් කියවන මිනිසුන් කණ්ඩායමක් මරණයෙන් පසු ජීවිතය සහ වෙනත් ඕනෑම දෙයක් ගැන කිරි ආහාර අදහස් සාකච්ඡා කරන්න මම ඔබේ පොත් සමාජයට විශාලනය කරනවා,Bad
උදේ ජිම් එකට ගියාම මට හොඳටම දැනෙනවා,Happy
මම සති අන්තයේ මගේ සහකරු සමඟ සතුටින් කාලය ගත කළා,Happy
සාප්පු යාම මට සතුටක් ගෙන දුන්නා,Happy
මම අයියා එක්ක දවල්ට කෑමට ගියා අපි ඇයගේ වැඩ අනුව නගර මධ්යයේ අවන්හලක ඉතාලි සැන්ඩ්විච් ගත්තා,Happy
අද පුරුදු දවසක් වගේමයි.,Normal
මම හී සම්මුඛ සාකච්ඡාවක් ලබා දුන්නා ඒක වෙන කවරදාටත් වඩා මට සතුටක් දැනුණා,Happy
ආදරය කරන්න අපහසු අයට ඒක වඩාත් ඕන,Bad
මගේ පෙම්වතිය සමඟ ඇවිදීම මට සතුටක් ගෙන දෙයි,Happy
මට අද උදේ එළිමහනේ ඉඳගෙන හුළඟේ සහ කුරුල්ලන්ගේ ගායනයේ රස විඳින්න ලැබුණා,Happy
අද වැඩ කරලා හවස නිදාගන්න ගියා.,Normal
වයස 26 මට අවුරුදු යි,Bad
මම මුලින් වැඩියි කියලා හිතපු දවසට මගේ ඉපැයීම් ඉලක්කයට යන්න මට පුළුවන් වුණා,Happy
අනාගතය කරදරකාරී වනු තියෙනවා,Bad
මම හොඳින් නෙවෙයි,Bad
බොඳ වීම සීතල නැහැ වෙනවා,Bad
මමත් මගේ බිරිඳත් සතුට බෙදාගත් විට අපි දෙන්නා ගොඩක් සතුටින් හිටියා,Happy
කිසිවෙකු තවදුරටත් ගණන් ගන්නේ නැහැ,Bad
උගුලක් සහ හුස්ම හිරවීම වැනි හැඟීමක්,Bad
මගේ ජීවිතය නැහැ කරන්න,Bad
අපි අනිමේ එකක් බලලා විනෝද වුණා සතුටුයි,Happy
මම ක්රීඩා කරමින් හිටියා බහු ක්රීඩක වීඩියෝ ක්රීඩාවෙන් මම ජයග්රහණය කළා,Happy
මම එම ස්ථානයෙන් බැස ගිහින් මා ආවෙන මිතුරෙකු පිළිගනු ලැබීය,Happy
අද lesson එක ලියාගත්තා.,Normal
ඒක සෞඛ්ය සම්පන්න හැඟීමක් හෝ සෞඛ්ය සම්පන්න නොවන හැඟීමක් නම් මට ඒක අවශ්ය නැහැ,Bad
ගමනේදී කවුළුවෙන් බලලා හිටියා.,Normal
ළමයින් සමඟ සෙල්ලම් කරලා මට සතුටු හිතුණා,Happy
මාස ගාණක් කැඩිලා තිබ්බ ජනේලයක් හදලා දුන්නා,Happy
මම පොත් සමාජයකට ගියා සතුටුයි,Happy
ඔහු මට පහර දුන්නා,Bad
මට බය දැනෙනවා,Bad
අපි කතා කර කර ඉන්නකොට මම අම්මට හිනා ගියා,Happy
ඒක මගේ පාලනයෙන් ඔබ්බට වෙන්න ඕනය,Bad
අද කාලය විශේෂයක් නැහැව ගියා.,Normal
මට ඇත්තටම අවශ්ය වන්නේ මිනිසුන්ගේ ප්රශ්න සහ මගේ මනස තුළ නිරන්තරයෙන් දුවන සියලුම ගොන් කතා නැහැ දවසක් පමණි,Bad
මම මගේ ඉවත දැමිය හැකි ආදායමෙන් සැලකිය යුතු මුදලක් ඔට්ටු ඇල්ලූ ක්රීඩා ඔට්ටුවක් දිනුවෙනවා,Happy
මම ඊයේ මගේ පැරණි පාසලට ගියා,Happy
ඔවුන් සැලකිල්ලක් දක්වන නමුත් ඔවුන් සලකන්නේ නැහැ,Bad
පරිපූර්ණ වුණා නොහැක කිසිදා පරිපූර්ණ නොවනු තියෙනවා,Bad
මම නිල වශයෙන් උත්සාහ කරනවා ඔබට මාව ඔබේ ජීවිතයට අවශ්ය නම් ඔබට මාව සොයා එන්න පුළුවන් එතෙක් ම නොපවතින ආකාරයට මට සලකන්න,Bad
අද කුඩා කටයුතු කරමින් හිටියා.,Normal
මම මගේ සඳහා නව සහ ඉතා බලවත් නව ව්යාපෘතියක් ආරම්භ කරන්න තීරණය කළා අවසානයේ මට සහනයක් ලැබෙනවාවි කියලා විශ්වාසයි,Happy
අද උදේ දවසේ සැලැස්ම හදාගත්තා.,Normal
මට අහිමි වීම ගැන සතුටු වන එකම අවස්ථාව මැරෙන්න,Bad
මට දැන් දැනෙන විදියට මමත් මැරිලා තියෙනවා,Bad
මම මගේ පහළම මාලයේ මගේ ඉලෙක්ට්රොනික ඩාර්ට් පුවරුව සඳහා නව ඩාර්ට්ස් ලබා ගත්තා,Happy
මගේ පුතාට ඇයගේ අතුරු වාර්තාවෙනවා සියලුම සාමාර්ථ ලැබුණා,Happy
ආත්මයන් හිස් මනස නැහැ කර ගන්න,Bad
අද පොඩි කාර්යයක් ඉවර කළා.,Normal
මේ සතියේ මම නව අවන්හලක අලුත් ආහාරයක් උත්සාහ කළා ඒක රසවත් වුණා,Happy
මගේ මෝටර් රථයේ වීදුරු විවෘත කර ධාවනය කරන්න තරම් ඒක උණුසුම් වුණා,Happy
මගේ හිසෙහි නැවත ධාවනය යන වචනය මගේ හදවත සිදුරු කරයි,Bad
මම මගේ පිඟන් සියල්ලම පිරිසිදු කළා සතුටුයි,Happy
වැඩ ඉවර කරලා සවස ගෙදර ආවා.,Normal
අද අම්මටට උදව් කළා.,Normal
මම ගිය මාසයේ මගේ වත්ත ප්රතිසංස්කරණය කළා මගේ අදහස මගේ මිතුරන් අගය කළා,Happy
අද බැංකු සේවාවන් සාමාන්ය ලෙස පැවතුණා.,Normal
අද මම සතුටින් හිටියා,Happy
මම වැඩ ඉවර වෙලා එකට ගිහින් බඩගින්නේ හිටියා ඩබල් ඩබල් එක හරිම රසයි,Happy
සාමාන්ය රටාවට අනුව දවස ගත වුණා.,Normal
ඉටිපන්දම පත්තු කරන්න කියන මගේ පුතාගේ පළමු චිත්රපටයේ ආලෝකකරණ උත්සවයට සහභාගි වෙන්න කියලා මට මගේ සහකරුවා එක්ක ආරාධනා ලැබුණා ඒ වගේම මගේ ලොකු පුතා ඇයගේ බිරිඳත් එක්ක අපේ එකම මිනිබිරියත් උත්සවයට සහභාගි වෙන්න යනවා කියන එක ගැන මම ගොඩක් සතුටු වෙනවා,Happy
සාමකාමී මරණයක් හැර මට කිසිවක් නිර්දේශ නොකරන්න,Bad
මට දුරස් වෙලා ඉන්න කැමතියි කවුරුත් මාව හරිට තේරුම් ගන්නේ නැහැ කියලා මට හිතෙනවා,Bad
අද බස් සේවාවන් සාමාන්ය ලෙස ක්රියාත්මක වුණා.,Normal
සෑම විට,Bad
අද දවස ගැන විශේෂ දෙයක් නෑ.,Normal
කාලෙකින් නොදැකපු යාළුවො ටිකක් දැක්ක ආයෙත් සම්බන්ධ වෙන එක හොඳයි,Happy
අද පාසල් වල පන්ති සාමාන්ය ලෙස පැවැත්විණි.,Normal
අද කාර්යාලයට ආපු වෙලාව නිතර වගේමයි.,Normal
මම කරන දේ ගැන මම දැනුවත් නමුත් නතර කරන්න ප්රමාණවත් නොවෙනවා,Bad
මම ඩොලර් හයක් උපයන වෙබ් අඩවුණාෙන් මගේ ඉලක්කය සම්පූර්ණ කළා,Happy
මම හොඳින් නෙවෙයි,Bad
අද මට හොඳ දවසක් වුණා,Happy
අද listening ටිකක් කරලා හිටියා.,Normal
ගෙදරට ආපු වෙලාව සාමාන්යයි.,Normal
අද මට හොඳ දවසක් වුණා,Happy
ගෙදරට ආවා.,Normal
මට වේදනාව අමතක කරවන දෙයක්,Bad
මම ඔබව නොසලකා හරිනවා නම් හොඳයි,Bad
අද තව කෙනෙක් එක්ක වැඩ බෙදාගත්තා.,Normal
අද ක්රීඩා කාලය සාමාන්යයි.,Normal
මම මගේ සෙන් වන විවාහ සංවත්සරය මගේ බිරිඳ සමඟ සැමරුවා එන්,Happy
ගරුත්වය දෙන සේවායෝජකයෙකු සමඟ වැඩ කරන එක මට සතුටක්,Happy
මගේ දුව පාසලේ දක්ෂතා දකිලා මට සතුටුයි,Happy
දිගු නින්දකට පසු ඔබ ඇස් අරින මොහොතේ ඔබේ මනසේ ඉන්න පළමු පුද්ගලයා ඔබේ සතුටට හෝ වේදනාවට හේතුවයි,Bad
අද උදේ සන්සුන් බවක් තිබුණා.,Normal
මම අවසානයේ මගේ පෙම්වතියට මා සමඟ චිත්රපට නැරඹීමට යන ලෙස ඒත්තු ගැන්වූවෙනවා අපි දෙන්නා ගොඩක් විනෝදයෙන් ගත කළ අතර ඒක හොඳ රාත්රියක් වුණා,Happy
අද ක්රීඩා පුහුණුවෙනවා අලුත් අභියෝගයක් ජයගත්තා සතුටුයි,Happy
අද විශේෂ හැඟීමක් නැහැ දවසක්.,Normal
අද දවල් කෑමේදී මම ඔවුන්ට කියවූ කතාවට මගේ දරුවන් සම්පූර්ණයෙන්ම ඇදී යන ආකාරය මම දුටුවෙනවා,Happy
සමහර දිනවල මට සියල්ල එකවර දැනෙනවා,Bad
ප්රතිකාරය හරි යයි අද ඒක විනාඩි විස්ස් ප්රමාදයි පිස්,Bad
ඒක නරක අතට හැරෙනු තියෙනවා කියලා ඔබ දන්නේ අල්ප වශයෙනි,Bad
අද මිතුරෙකුට පොතක් දුන්නා.,Normal
මගේ පළමු දරුවා ඇයගේ පාසලේ පැවැත්වූ මෙම වසරේ පළමු පරීක්ෂණයෙන් සම්පූර්ණ ලකුණු සියුර්ණ ලබා ගත්තා,Happy
මම උත්සාහ කරන්න කැමති නව වට්ටෝරුවක් පිසුවෙනවා,Happy
මම ජීවිතය ගැන මානසික අවපීඩනයෙන් පෙළෙන නිසා ඉක්මනින් රැකියාවෙන් ඉවත් වන්න,Bad
අද interval එක ඉක්මනින් ඉවර වුණා.,Normal
පසුගිය මාස දෙකකට පෙර මම මගේ ගෙවත්තේ සමනලුන් පොකුරක් අධික වර්ෂාවකින් බේරා ගන්නවා ඔවුන් මත නවාතැන් පහසුකම් සැපයීම නිසා මට ඉතා සතුටක් දැනුනා,Happy
රාත්රී ආහාරය සඳහා චයිනීස් කෑම තියෙන එක මට මහත් සතුටක් ගෙන දුන්නේ අපට ඒක නිතර නොලැබෙන බැවිනි,Happy
මම හොඳින් නෙවෙයි,Bad
අද හවස සුළඟ ටිකක් තිබුණා.,Normal
මගේ හොඳ මිතුරෙකුගෙන් මට උපන්දින තෑග්ගක් තැපෑලෙන් ලැබුණි,Happy
මම හොඳින් නෙවෙයි,Bad
අද නගරයේ ශබ්ද මට්ටම සාමාන්යයි.,Normal
යූටියුබ් එකේ වීඩියෝ දෙක තුනක් බැලුවා.,Normal
අද ඉතිහාස පාඩම සාමාන්යයි.,Normal
අද වැඩ ටික සරලව කරගත්තා.,Normal
සමහර අය අනෙක් අයට වඩා බිඳෙනසුළු වන අතර ඔවුන් පහසුවෙන් සුව නොවන නිසා හෝ සමහර විට ඔවුන් කිසිසේත් සුව නොවන නිසා ඔබේ වචනය ගැන ඉතා සැලකිලිමත් වන්න,Bad
මට තනිකම දැනෙනවා,Bad
දේවල් කවදා හරි හොඳ වෙන්න,Bad
අද පන්තියේ ඉඳගත්තේ වෙනදා වගේමයි.,Normal
අද කුඩා වැඩ දෙක තුනක් ඉවර කළා.,Normal
අද වැඩට ගියා ආවා ඉවරයි.,Normal
අවශ්යතාවය සහ අවශ්යතාව අතර වෙනසක් තියෙනවා,Bad
අද ටිකක් විවේක ගන්න වෙලාව ලැබුණා.,Normal
ශක්තිමත් මිනිසුන් තමන් වෙනුවෙන් පෙනී ඉන්න නමුත් ශක්තිමත් මිනිසුන් අන් අය වෙනුවෙන් පෙනී ඉන්නු තියෙනවා,Bad
මම ඒක පෞද්ගලිකව ගන්නේ නැහැ මම කියනවා පෞද්ගලිකව ගන්නවා,Bad
සෑම දෙයක්ම සිදු වන්නේ මෝඩ හේතුවක් නිසා ය,Bad
යථාර්ථයේ දී ඔබ මායිමට ළං වූ විට හොඳින් ක්රියා කිරීම සහ සැමවිටම ශක්තිමත් වීම කෙතරම් වෙහෙසකර දෙයක් ද කියලා කිසිවෙකුට සැබවින්ම තේරෙන්නේ නැහැැයි මම හිතනවා,Bad
මම ප්රදේශයේ නව උද්යානයකට ගොස් ලස්සන ඇවිදීමකින් සතුටක් ලැබුවා,Happy
ඉහළම සැත්කම හෙට,Bad
සද්ද තිබුණත් සාමාන්යයි.,Normal
අද උදේ සීනි නැහැ තේ බිව්වා.,Normal
මගේ සහෝදරයාට ඔහු ඉල්ලුම් කළ රැකියාව සඳහා සම්මුඛ පරීක්ෂණයක් ලැබී තියෙනවා අතර ඔහු බඳවා ගන්න බොහෝ දුරට ඉඩ තිබේ,Happy
ඔබේ ජීවිතය ඉතා ජරා වී තියෙනවා නිසා සහ ඔබ අවුල් සහගතව ඉන්න නිසා ඔබට කවදා හෝ අඬන්න හිතෙනවද,Bad
tuition එකේ notes ටික සකස් කළා.,Normal
අද හෙටට uniform එක සකස් කළා.,Normal
පාසල් වර්ෂය බලාපොරොත්තු වූවාට වඩා ඉක්මනින් අවසන් වෙයි කියලා දැනගත්තම මට සතුටු හිතුනා,Happy
මට යමෙකු අවශ්ය වූ විට සෑම විටම කිසිවෙක් නැහැ,Bad
අද වැඩ ටික නිතර වගේමයි.,Normal
පාඩම් පොතේ ගෙදර වැඩ ටික සෙට් කළා.,Normal
කෝපි කෝප්පයක් සමඟ අවදි වෙද්දී මම සතුටු වුණා,Happy
