Comments,Sentiment
mata nam kasun harenawa kiyala sure ekak thibba,Pos
ane choi baba priyadarshana ayye oyala thun denatama budu saranai,Pos
nirahankara nilliyakmata dawasak munagasi matath kalin oba ma samaga katha kala api kisidawasaka adunna aya nam nowe namuth appi obe rasikawio oba wani adarshawath niliyo ada natha obe wadan mage jeewithayata puduma rukulak ,Pos
  aiya api oya ekka hemadamath innwa ona dekata,Pos
jaathiwadaya awssanna epa hamuduruwanee,Neg
mu rata baila gehuwata redi eke wayasa kiyanna bayai mu nikan merenneti ekek wage muge hakke budhu res bokke dhadamas,Neg
harawath kuwa siyalla aththa but janadipati wena eka nam hinayak ,Neu
theruwan saranai ape hamuduruwanta niduk nirogi dergayu wewa,Pos
ake muslims made yana balleyk wassakata wat eskole gehen nate gonek,Neg
athawarayata lan wela lamayek wadanna inna kellata kauda gihin denne polosh abulak kiri kos maluwak oba hariyatama aththa kiuwa akke,Neu
ammoo pissu hadenawa,Pos
koi sakkiliyada dislike danne bolata ammek nedda ,Neg
ado mehemath voice ekk select une na kiyanne aparadayak ,Neg
hithata wadina pattma sinduwak as walata kaduluth awa,Pos
kawda me sinduwata kamathi mn wage,Pos
mekata male voice ekakuth tibbanam superb e aduwa tiyenawa,Neg
mechchara hodata kiyalath herune nena wedakane,Neg
ammage redhdhe awasan liyumak kiwee ai yakoo liyathambara patta,Neu
araa oyage kathawa hari radio wa kawada wath marenne naa oyage wada satahana mn kawdawath waraddanne naa e taram supiri katahadak oyata tyenne budusaranay,Pos
jathiya sri lankan qwa ne maru waradinne na ouata,Pos
mu molayak newe mola genapu nawak yako suba pathanawa bro gehan,Pos
 watenna epa kohomath oya watenneth na hari de karanna likes walata unlikes walata oyawa wattanna ba api oyath ekka innawa ,Pos
the voice live oni kiyanne kauda ,Neu
godak adambarai akke math podi kale idan asai oyata ada eeta wada adarayakhoda upades godak labuna,Pos
patta mage eka,Pos
kumara walgama kiyana ratata adare akak namai,Neg
Posh seen eken natiwa kata arala sinduwa qwa nan tawa lassana wenna tibba,Neg
darshana kiyak thibbath ape un danne ekai linde inna gembone,Neg
bands la kattyawa ganne kalin hithane kiyanewa enna hithane unuth enna ne ,Neu
geethayata asadaranayak kala kiyala hithunema na katahadath lassanata thibuna eta wada kapenna one aya theruna anyway good luck malli atharinna epa kawada hari hoda thenakata enna ,Pos
kata kewath mu sira kathawa kiyannee machan,Pos
hotto to maka kiyala poltik karanawada hotto,Neg
aiye bitcoin mining krnna free barida,Neu
sinduwa lassanayi godak videyo ekanam anthimayi,Neu
vile lagegaha nathi video akak vayasata neve vada habai song akanam godak lassanai suba pathum,Neu
oba garu kala yutu pudgakayek oba gena ettatama adambarai ape lankawe singhala kama amataka kr jeewath wana ayata oba honda aadarshayak god bless you forever,Pos
akki oya hoda amma kenek,Pos
suba pathanava nangi oyat issarahat yanna oyage sindu mam kalin ahala thiyanava harim sathutuyi oyav mehem dakinna lebim,Pos
oba wahanse kiyanna sahathika atha hamuduruwe,Pos
 nam aththamai kiyanne sakshi nathi nisa kochchara nam niwaradikaruwan waradi karu karanawada usawi walin matath wela enne loku karadarayak usawi nisa wela thiyenne,Pos
ooka enakam thamai blan hitiyee,Pos
meka uk newi sinhalen kiyapan,Neg
woow superb danata haya parak ahuwa eth madi shuwer oya tamai voice sri lanka good luck shreya goshalge ekath ikmanata ahuwa ea song eketh live eke oyahati energy ekak na supeb ,Pos
mama ganna oda kara ayiye,Neu
mama me githaya wathawak pamana asuwa e tharamata lassanae epawaenne nathi gethayak,Pos
godak asawen balana channel eka thamai wasthi suba pathanawa aiya athulu samastha crew ekatamajayen jaya ,Pos
attatama lassana sinduwak lassana video ekak,Pos
niyamai parakku wanna ona nhani harenne nathuwa,Pos
dana hoo nodanna kaatawath naraka videyata kataakireemen walakunna mey kena gen aadarsayata ganna oona,Pos
meka niyanai meka adare wanthainata gelapenawa,Pos
oya kaiya gahana okkoma baleta awama thamange malla purawa gannawa vithari,Neg
ahan inna puluwan clear katahadahak ,Pos
koch shashikage mahansiya hoday best sing apita,Pos
molen wade kara kiyala hithenawa issarahata yana eka gana hithala,Pos
aththatama mn meaka beluwe nea man phone aka setup akata jak karala ahuwa hodata saddetaa tharam iyage hadada api washi welaaya ediripath karana vidiya dakinna oona neaasama niwedakayek iya niyamae program aka,Pos
oya sinduwa melo rahak nathi widiyata kiyapu aya therila thiyenawa ane manda,Neg
athatha katha krnv respect karanna one kenek,Pos
sudu banda obata suba mangalam ,Pos
naveen kiyanne kisima wadak karanna bari minihek me ratata kelawela thiyenne onna oyawage his minissunge goshawai buddimathunge nihadiyawai nisa aththatama ,Neg
hoda wede depiti gattuwata minissumge badu salli walin gaththa wahane vikunala loketa penna salli dedanawa,Neg
jeewithetawath hithuwe ne mechchara serious paththakuth athi kiyala ge aiyage respect bro,Pos
dan itn eka inawa elama,Pos
asus p hodai da koi wge hoda kyl kynko,Neu
yalu avankava hitanna a nakiyada a g girlda varadi kiyala anika adarata old aka adala nea neda,Neu
q and a eka patan gaththa eka hodai,Pos
mama asa karana patta charithayak suba anagathayak ayye ,Pos
ar corse ek gana kiw ekt aiyta godk sthuthi,Pos
ranjan ithin christian ne oita vadaa deyak balaaporothu venna baha oya degollonotama one buddhagama nathi karannane ,Neg
mage ammath oya wagemai akke oyage kathawa kiyanakota mata mage amma gana duka hithuna,Pos
aneyy chuti nanagya dukhai ane ,Neg
dipaniyoo hodata ahaganin ban vasak poyata sil ganin ganiye,Neu
nodakin vitarak ponnaya,Neg
wow hrim lssanata sing kla oy,Pos
paw yako balla ,Neu
meh sare presentation ekkanam patta aiyeh hama ekema cost ekka dala ghala tibba ekka nam supirih,Pos
ubatath pissu lahiru uba  views waddhi karanna on a huthathak karai gon haraka wadhak athi deyak karan ban,Neg
maarama lassani lassanama lassana voice ekak,Pos
 niyameta wadinna one tanata kiyannwa kantawak,Pos
sinduwa lassani ara podi keliwa aduwa paw gayanaya lassananam moko arun harune naththe ,Pos
me aparada meda nihada nowella tharunaine,Neg
true ape hamuduruwane,Pos
parli menthuwe inna awo kudu nogahuwoth thamai pudume lankawe inna pisso tika okkoma inne parlimenthuwe ne,Neg
api anawa obathuma wanuwen lankawata mee laga chandeta jayawewa,Pos
mama godak adaraii oyata mage asama nili rajina obai adaraniya mawak thunuruwan saransi donitah oyatah,Pos
oba thumage kathawa sahathika aththa ahana gaman cmt ekak karanna one kiyala hitila awe kathawa tawa dig unama tawat hodai kiyla hithuna ,Pos
aththatama hoda mawak thamunge ashawan pasekala daruwata mul thana dunna udaara mawak budu saranai,Pos
elzz but sinduwata video eka galapenna,Neg
supiri bn suba pathanawa saman lenin mahaththayage katahada enawa samahara than wala ,Pos
priya aiya yanthan kodura kodura hitiya ne koma unath mn ithaliye song eka nam thamath pissuwak,Neu
hirustar feeling ekak awe,Pos
kumari diriya geheniya,Pos
paw neda mahansiya igenagaththa ekata loku scene kiyawanna gihin umariya wa theruwa ammatasiri thamai ,Neu
 wasthi patan gatta kale idan danan hitiya well done brother,Pos
kasun chair eken bassuwa waddek,Pos
sampurna saha waradi adahasuth tiyanawa,Neu
thawa k wage ona milion gahanna jaya wewa,Pos
maha dawal heenyak meka ,Neu
yako meka yakage neethiyak mun okkoma ballo mara wedakne,Neg
 akka kiyanne charetayk mama godk like,Pos
suddek hari awilla hariyata bawana karana hati iganuwoth ape un pana gene korai habai mehe hamuduruwo banath wikunala deshapalaneth korala bath guliyata budu dhama wikunala kai,Neg
maru aye therene neti unata bokkatama wadinawa bend akat maruu aha aye itn kiyanna one ne ,Pos
lankawe degree gatthama cricket gahanna thama wenne ,Neu
godaka adare karan kenek,Pos
jathiwadee chanda wedak nehe sewoma ekwee rata diyunu karamu jathiwadin thamai awurudu ganakata ape podi rata aapassata geniyanne ,Neu
gon badu ganna epa ban uba ela,Neg
jayama wewa jesu pihitai,Pos
eya sinduwath ekkama adenawa ,Pos
jiwethe awasana bagaye pinak dahmak karagena paduwe innawa halo bere weda karanna dagalannthuwa,Neg
 harima fun program fun bamps shasika umariya ,Pos
me ape gon haraka ape lankawe ayawa pahath karalane prashna ahanne nil paata shirt eka andagena inna ekaage kana palanna oni lankaawa pahath karanawata gona ,Neg
me kolla voice sri lankan wenawa aniwa,Pos
as walin kadulu watuna math mage amma adaren reka bala gannawa hemadamath ape hamuduruwantath ammatath budu saranai,Pos
chanuka mora comment korai da balamu ,Neu
obata rata venuven kapavee janadipativarnaya jayaganna sakthiya dahiriya labeva siyalu deyange aarakshava labeva ,Pos
happy new year priyadarshana aiyest build eka nam super,Pos
ara ahinsaka ballata gahanakan uba puka dunnada ,Neg
jathi beda bala bala hitya hinda thama lankawa winasa wela tyenne agam jathi beda ballanathuwa ekta wada karla thibbanam singaporeuwa apita paradila,Neg
aiye compitition eka patan ganne nadda,Neu
hari tv kiyanne hoda program thiyana channel ekak dialog tv eke oyalage channel eka dammoth hodai,Pos
bomba gahanna tebune munta,Neg
puduma widihata adare karana charithayak thank you aiye,Pos
yko sinduwk ghl wela iddith mekat enw kiynn meyt niym music pissuwk tiynne,Pos
gehange interview taram hithata alluwe na mokakwath,Pos
e gamana me gamana ethkota sasara gamana what an inspirational and respectable women,Pos
me voice eka udeta ahune nathnam samahara welawata ude boring wage tks aiyya,Pos
godak duka hithuna kumari akke oyage jiivitha kathawa ahuwama mage ass walin kadulu wetuna kawama daakawath geheniyakage jiivithee athulanthaya nodeka apahasa karanna epaa ,Pos
aiye pc ekak hadaganna oni num eka dannako,Neu
shshika oyanam hari lassani hada ,Pos
cigarette bonna kawruth balapam karanna ona naha oyage hitha hari haiya kenek prekshakayek widiyata illimak karanne oya godak kal jeewath wenna ona ,Neu
oyanam supiri piyadarshana aiye,Pos
akki oyage voice eka godak lassani mama online ena hamawathawakma me song eka ahanawa ,Pos
yako reta dana aawa rata dipiyau udeta api weda,Neg
me tama chiwaradarin mataka tiyaganin ponna ranjo ,Neg
amboo eka shashikage sister wageniyama voice,Pos
atta hamuduruwane rate wasanawat tamai ape janatawa jeewita puja kare rata bera ganna tamai dan penawane,Pos
superi kisi kuhaka kamak nethi manusayek niyamai machan ela,Pos
hariyatama hari putha jathiya issarahin label gahagaththu ewaun adatath sri laankikyan bada binna karanna thawamath thiyenawa innawa api unwa parajaya karanna ona ekama ratak ekama nithiyak ekama jathiyak washayen jivath wenna ona ape daruwanta,Pos
dulaj patta porak bokkenma katha karanawa,Pos
samithage duwata mewa dakinna labewa,Neu
good moning admin oya sellan karanawane bane karanna ,Neu
ela ela aiya good luck awen baluwe okkama good luck lahiru aiya,Pos
hats off hitata loku haiyak ava thank you,Pos
api school yanakale idan godak adare karana niliyak ragapem ati visistai nirahankara nihatamani mavak semiyagen ven vela hitiyath itamath itamath vedagath vidiyata jevathvena gauravaya diya yutu sahodareyk ,Pos
gal gahanna mada ganna neme one thota guu baldiyak ganna one thota gon huththi,Neg
aiye mata full used parts walin hada ganna hoda shop ekak kiyannako,Pos
hoda ayata harenne,Neg
oba wahenseta theruwan saranai,Pos
methek voice eke ahapu mihirima song eka  ammo pissu hadenawa,Pos
apita kiyanko mokadda e hotel eka danna kawruth innwada me wage wenna inna kenek unnwa nam me hotel eka gana dnnwa nam apita kiyanna obata jaya,Neu
wasthi aapu mulma kaale idan idalath aiywa hariyatama danagatte ada go ahead,Pos
oba thumata ajaramara nirwana sampaththiya ath wewa ath wewa ,Pos
kalekin lassana song ekak,Pos
awoo dan nam hariyata name eka kiyawanna puluwan ,Pos
voice ekata wachana walata watinakamak saha audience eken jayagath radio hero kenek,Pos
kegalle ape kollek isrhtm palaya malli,Pos
mata hita ganna ba me okkoma eka dawase kiyapu ayada natnam cochla hamadama ekama aduma adan enawada kiyala,Neu
me okkotama sampoorna gana keeyada aiye,Neu
kasun courch ge hinawa,Neu
jayen jayama weva oba thumata theruwan saranai,Pos
wesa ganu thu nodakin,Neg
umariya kamthi nadda,Neu
 puluwannam mage channel ekatath enna,Neu
veula veula kiyanna amarui samanyayen ohoma hari thaleta hebei,Pos
aye unpi anna mama ira hada wage kiyanawa mesare apatna,Neu
dunna thiyan keta polen widapu dial ekak,Neu
paw yakou hodata kiwa ,Pos
sirasa tv broadcast eke audio me tharam hoda na eka hadanna ,Neg
ithinban aththane uba yannaththam bengali pakisthan gana ochchara hodata kiyanne hoda palapurudda nathuwa kiysnne kohomada,Neg
kolla hemal wage lassanai vidiyo eka,Pos
kumari akka gana danuwath kalata godak sthuthie kumari akka oyata suba dawasak jasu pihitai,Pos
lankawe hari deta hari ayata thenak nane iraj karanne wenas deyak,Pos
hamadma aluth wadak karana pc guide lk ela,Pos
oya wg hama knkm hithnawnm ada lankawe reap cases aduweii,Pos
amu amuwe waraddagattu tenak ma lamayawa toraganda tibba weradi tbba maita wada weradi tibba lamai etulata giya,Neg
warada piligannawa aye muu adanawa nodakin me wage gon athal,Neg
niyamai brother ada thama mata oyawa set una videyo okkoma balamawa mama ayya mata help akak wediyata kiyannako hoda hamadama cover wena it couse akak ,Pos
ubane yako digana gini thibbe den uba babada pala yako ayeth uba rata salli hoyanna plan karanne ubala okkama ekai jathiwadi ballo,Neg
duka hithuna ban man marama ada gayakayekge sinduwak niyamatama kiuwa ban ,Pos
aiyala nangila okkma lassanai sing krnwa,Pos
aiye phone eka anith pathata thiyan inne man thuma ape porage bodyguard eyath call karene phone eka ank pathen ne marai sandun aiye oya,Neu
dawasaka dinanawa brother jayawewa ubata,Pos
jaya wewa welgama pohottuwa kudukarala dapan ,Neg
niyamai kolloo aniwa final yamu practice karamuu oyata puluwan jayen jaya jayod,Pos
oyage kathawa eththa lankawe samajaya e wage ayata hariyata nigaru karanawa me widihata hari samajaya denuwath kireema wedagath,Pos
ganna boy kenek hitiyema nadda,Neu
samanal rana tawa wadi kalak natane ape hamuduruwane ranja kata hida illn kanawa,Neg
 ohoma karan yamu apith innawa oyala ekka me satanedi,Pos
chance ekak denna thibba mita wada out sing krapu aya gaththane aparade,Neg
monade unath daksha lesa katha karanawa bumi,Pos
magth thiyanawa hik vision ssd ekak eka sale karanawa ,Neu
chuti duwage dans aka maru aa,Pos
rata vinasa karana balana minisunta udau dena jana nayakaini asana me budu wadan budu owadan hitana danawat adaraniya lak maniyan gana,Neu
phon walin godak dewal wenawa apy game phon ekakata eyage kella gena apu weradi msg nisa tharuna kollek ellila meruna,Neg
kumari akkata banna ayama dan hoda kiyanawa lankawe minissunge hatine ,Neg
arage hada ahenakota aka radio programe ekak kiyala hithuna aya ko,Pos
mu natanne mata penne england unta ona wediyata,Neg
gon ranja gana katha karala wadak na ape hamuduruwane,Neu
singer ge voice colour ek patta dolkiya ,Pos
me wge hithana minissu thawa wadiyen inna ona hadenna ona ethakota me rata rate system hadanna puluwan respetfull greatfull n honest,Pos
rata deyata mahagu sawayak karana podi gamuduruwo uthum sawayak karana hamuduruwanta deergausa labawa budu saranai,Pos
kasunge voice anee pissu hadenawa,Pos
dumal wage hoda gayakayek wei anagathe shashika thamai hodama coach mokada kasunwa oya follow karala iwarai,Pos
ubawaga kanak komaht wedakne ban,Neg
gotabaya janapatitumani obatumagae awadanaya yomu karanna mae daruwa monawada kiyannae kiyala,Neu
gaburui hrima saralai ganiyak wenna onath ehema tamai kiyna charithe laga boruwak na eeka katha bahen hasirimen sanyamayen penenawa,Pos
mehem pc hadnn sali kohend ane asawe be,Neu
flamingo style eka nam amaranath ranathungage golayek wenna oni,Neu
admin poddak hemin sindu upload karannako thama anith ewa balala iwara kaleth na ,Neg
ranjan ta a karapu dayata hena gahapuwee,Neg
sihalayata adre kollek me api me weerayawa araksha kra gn na onii,Pos
budusarani aph hamuduwanh oba wahanseta athtmii deyak wenda oni deyak therum ynda,Pos
man wage maths karala fail un me konata,Neu
ara waight ekak thiyana ekata dunnata wadiya hodai me kollata dunnanan,Neu
hena ma gahapiya okunta,Neg
therum gatta ekama de dakshakama tibbatama vitharak ba,Neu
unlike karala thiyenne pakku wenna athi,Neg
season eke eka oita wada hodata kiwva wage ,Neu
alien kenekta mokatada owa,Neu
oya kyn ewwa wnw nm hodai ,Neu
bokkatama waduna supiri,Pos
anna niyama ammala samitha ekata niyama adarshwath amma,Pos
hiru star aken passe dakke lassanai nanga adare mn adare song akath lassanata sing kranwa,Pos
ane oya baduwak neweida ganikawata aluth hedinweemak sanskrutiya iwarai umbala lamai heduwoth kiyala wedak ne ,Neg
edath adath oba samagai muslim ayage neethiyama apith kriyathmaka kala uthui sihalayatath neethi ganna ona hodin or narakin,Neu
keriyo ,Neg
lassana sanwara kellek bs,Pos
api kemati aya toranne nehene pichin hodailu gayanaye adupadu nehelu toranna tibunane,Neu
math rata me wage kellek nam haa mokada bokka hodai,Pos
 lsnt kiwwa akki oya godak ,Pos
ammoo godaak lassani akkiyo,Pos
ayiye mama part aran oyalata oka hadanna dunnama kiyak withara gannawada,Neu
ape hamuduruwane kalawam wechcha ewunta desa mamakathwayak naha obawahanseta godak pin,Neu
hadawathinma suba patanawa malli oyata idiriyatama enna labenna kiyala budusaranai oyata,Pos
kasun hari hondai okata kiyanne manussa kama kiyala respect ,Pos
ballo biruwata kadu pahath wenne nane ape hamuduruwane oba wahanseta yodabala yodashakthiya labenawa ape budda sasanaya saha ape maubima rakinna,Pos
mama poco x use karanne supirima n ekak cam eka patta performance top,Pos
hamadama me rate wenne oka ihain gena oder eka karanna awith inne  ,Neu
balan hitapu video ekak,Pos
iraj janadipathi unoth hodai kiyana kattiya ko balamu,Neu
godak dukay akka oyage kathava good luck akke oya vage kenekta varadin naha,Pos
aawasaneta keayapu aka thami athatama niyamata kewa aka thamai ayata hariyanne style aka,Pos
kohomada  wa sambanda kara ganne contact nu ekak tiynwanm ewanna plz,Neu
attema tamai palle waleta gahepu nesa tamai hame dayakme hoyaganne puluwan une,Pos
ela ela adarei iraj oya ponna emathila kiyana ewa ganan ganna epa,Pos
ane manda me wage kollek mechchar kiyalath mehema wenawadha,Neg
stage eke hrima lssnata performe krnwa katahadath lssnai e nisa hrima lssnai blnna asa hiteno,Pos
mama nam gdak garu kranawa akka oyage kthawa kelinhrima pahadili ,Pos
athatama pattama patta supiri kiyanna wachana na ,Pos
duppathage duka uba danne ne naganndan manussykta lising uduwk nokarapu thamuse kohomada oi udin pahala wela duppth minihage duka dan ne yko uba,Neg
niyamai suri akki idiriyatama yamuu,Pos
 vathavak ahuvath epa venne naha,Pos
ranjanta bari una wade ape hamuduruwo kalane kristiyan palli walata ghin oka katolika walath giye nane,Pos
hamuduruwane budunwahanse igannuwe satha sipawatath karunawa dakwantane nala giri athawath samanya kare gahala newene karunawenne,Neu
pala pakaya yanna ai gota paradunanam umbawa maranawada kariya,Neg
nihatha mani kenek sathuta samaga adannath haki obata suba pathanawa ,Pos
ayye used part bawitha karana eka hoda nadda,Neu
sinhala chanda tika kadanna thawa magulak,Neg
oaba diriya kanthawak obata jaya,Pos
ilaga ekata chathura alvis gennakoo ,Neu
lanka kisima raje mathi amathi kisiwak kata arinne natha ,Neg
female version ekak ahuwa wage,Neu
trending enna nm aye retta gemu ,Neu
gampola kollek gemak gahapan vioce sri lanaka wala jaya wewa chamila,Pos
nagananda wena kauru harida bn me katha karane ehema ne aulak na awoth mama chande deno dn inna unta wada therunak thiyevi wage,Pos
 janadipati nagananda aka istirai aka katawat nawattanda ba,Pos
niyamai supiri pahadili kirimak,Pos
dawasakata eka parak ahanna puruduwela me voice eka super ,Pos
matumaga sanvada nitara nitara janathavata balanna rata diunuva balaporottu ohui,Pos
sahathika aththa ape hamuduruwane,Pos
sanniyak baluwada manda neyamii,Pos
aththatama oyala wage aya thama ona rata day arakshakara karaganna enna seshapalanayata ape kathire oyata,Pos
redmi eke gyro scope ekath aul redmi game gahanna ganna epoo,Neg
duwa oba ape ratata sampathak pahadili jawa sampanna handak ranganayak saha ruwak sarasaviyagen labila thiyenawa obata mama oba sahabhagi una chat n music program ekath baluwa kala lowe digu gamanakata obata asiri pathanawa ,Pos
ai ban me hamdam me wag kenke genala monwa hari ahanwa oyita wada hoda nedda sex movie ekk danama ethakaota oya rate wadi we ne ban,Neg
patta set ekak adarei ,Pos
gootabaya vitharai oona,Neu
dan e lagata thiyana mahamathiwaranayaadaiy khoma hari wadai pirisak sri lanka nidahaspasayen pathkaragamu,Neu
godak lassana song godak kemathi me song akata godak serayk ahuwa lassanai ,Pos
mokakda appa me,Neg
kauda ban me gon admin wa wedata gaththe,Neg
kiththanen passe e wge thala sindu godk aya kiynwa ,Neu
oya hackers la salli ganna kramayen apita egolonge details ganna barida,Neu
aniwa uba waddek bn,Pos
gtx super card eken puluwanda mine krnna,Neu
gamya obe adahas ita vatinawa obata jayawewa,Pos
 aiye mama hithan oya ai aiye fm une,Pos
gold ram blnna api un me konata,Neu
niyameta performance eka niyama sindune mewa hinawewi baluwa godak lassana mona unath parakatath wada baluwa,Pos
math oya wage thamai gym ekata gewanawa yanna bari wenawa,Neu
aloka asiri ravana song eke blind audition round ,Neu
hrima lssna voice ekk ane ,Pos
 umariya hitha illana tharu eketh innawa ,Neu
mila kala noheki katahadak saha hoda minis hadawatak,Pos
